Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	0.56	0.62	2.28	-0.52	-0.37	0.18
0.13	-0.36	0.24	0.73	0.58	-1.17	0.48
0.22	-0.36	0.58	0.74	-0.89	0.27	-1.12
0.16	0.14	0.6	0.32	-0.66	0.04	-1.25
0.15	-0.49	-0.0	-0.87	-0.25	-0.51	-0.76
0.34	0.91	1.87	1.4	-0.08	0.5	-0.48
0.27	-1.33	0.03	-0.38	-0.71	-0.8	-0.13
0.1	-0.79	0.65	0.49	0.9	-1.12	0.54
0.27	0.57	0.57	1.85	-1.07	-0.47	0.55
0.57	0.59	0.06	0.33	-0.06	-1.15	-0.27
0.15	0.11	0.71	1.92	-0.45	-0.24	0.02
0.11	-0.06	0.86	0.64	-0.87	0.22	-1.01
0.29	0.58	0.51	1.1	-0.07	0.28	0.03
0.35	0.21	-0.98	1.63	0.42	-0.7	0.74
0.15	-0.25	0.26	0.24	-0.76	0.01	0.82
0.14	0.5	0.25	1.71	-0.01	-0.46	-0.2
0.47	-0.28	0.09	0.31	0.13	0.63	0.15
1.05	-0.04	0.74	0.56	-0.82	0.18	-1.1
0.25	0.55	0.64	1.64	-1.37	-0.66	0.46
0.33	0.63	0.53	1.7	-1.3	-0.71	0.52
0.59	0.05	0.52	0.32	-0.06	-0.93	-0.51
0.39	0.17	-0.0	0.33	0.65	0.59	0.06
0.39	0.83	0.48	1.68	-1.21	-0.33	0.54
1.71	0.09	0.28	0.34	-0.17	1.2	-0.1
0.1	-0.02	0.15	0.29	1.5	-0.05	1.31
0.18	-0.18	0.22	0.09	1.55	-0.78	0.23
0.1	-0.12	0.11	-0.11	0.45	0.85	0.09
0.52	0.49	0.28	1.43	-0.43	-0.44	-0.25
0.22	-0.43	1.64	0.84	-1.38	1.3	-0.51
0.22	0.67	1.29	1.57	-0.32	0.9	0.11
0.18	0.3	-0.23	0.06	0.22	-1.74	-1.8
0.27	-0.79	0.71	0.07	0.85	-0.67	0.19
0.16	-0.46	-0.16	0.63	-0.42	0.1	1.23
0.17	0.63	0.42	1.13	-1.45	-0.6	-0.58
0.35	0.74	0.96	1.96	0.11	-0.08	-0.52
0.7	0.44	0.95	1.58	-1.15	0.11	0.29
0.8	0.48	0.18	1.54	-0.5	-0.51	0.37
0.11	0.44	1.75	1.24	-0.66	1.33	0.04
1.12	0.45	0.95	1.58	-0.13	0.72	-0.07
0.3	-0.12	0.19	-0.18	0.17	0.02	0.1
0.18	-0.24	0.62	0.3	1.9	0.1	-0.7
0.54	0.65	1.11	1.37	-0.53	0.62	-0.11
0.16	0.89	0.77	1.9	-0.87	1.05	0.4
0.18	-0.07	0.18	0.15	1.83	-1.3	0.49
0.64	-0.28	-0.04	0.63	1.99	-0.35	1.71
0.4	-0.05	0.22	0.52	-0.75	1.44	0.48
0.37	-0.13	0.61	0.41	0.25	-0.64	-0.4
0.17	0.6	0.2	1.68	-0.58	-0.59	0.04
0.17	0.46	0.68	0.91	-0.16	-0.42	-0.36
0.13	-0.72	0.58	0.19	-0.02	-0.59	-0.25
0.4	-0.67	0.91	0.51	1.25	0.54	0.38
0.14	0.14	0.35	0.48	-0.31	1.18	0.26
0.1	0.54	0.22	1.53	-0.07	-0.37	-0.82
0.16	0.36	-0.51	-0.07	-0.47	-2.66	-1.56
3.01	-0.38	-0.21	0.53	-0.23	0.19	0.98
0.49	-0.39	-0.2	0.52	-0.01	0.06	1.77
0.86	0.15	-0.06	0.27	-0.04	1.3	-0.18
2.32	-0.31	0.18	0.63	1.17	-0.23	1.71
0.22	0.07	-0.97	0.03	0.61	0.03	-0.72
0.18	-0.29	-0.09	0.46	-0.18	0.75	1.07
0.28	-0.19	-0.4	-0.53	-0.67	0.34	-0.72
0.18	-0.14	0.24	0.46	-0.52	0.98	0.27
0.3	-1.23	-0.19	0.74	-0.64	0.63	1.6
0.17	-0.11	0.36	0.27	1.74	-1.49	0.49
1.17	-0.16	0.53	0.37	-0.03	-0.67	-0.24
0.18	0.18	0.25	0.19	0.58	-0.05	0.21
0.11	-0.18	0.35	-0.17	1.42	-1.27	0.78
34.38	-0.26	0.31	0.35	1.54	-0.41	0.39
5.3	-0.23	0.33	0.37	2.26	-0.98	0.57
0.54	-0.46	0.56	1.14	-0.69	-0.4	-1.05
0.58	0.03	0.56	0.49	-1.42	-0.57	-0.78
0.1	-0.01	0.54	0.3	0.14	-0.84	-0.17
0.17	-0.3	0.25	0.34	1.07	-0.51	-0.18
0.24	0.37	0.5	1.54	-1.56	-0.27	0.14
