Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	0.01	-0.65	-4.01	0.07	-0.13	-0.73
0.13	-0.66	0.84	-1.57	0.01	0.43	-0.57
0.22	0.68	-0.87	1.36	0.1	-0.51	-0.08
0.16	-0.02	1.23	1.55	-0.81	-0.15	-0.54
0.15	-0.83	2.05	1.83	0.44	0.18	-0.03
0.34	-0.14	-1.67	1.64	0.24	-0.09	0.71
0.27	0.03	1.5	1.24	-0.8	0.64	0.65
0.1	4.4	1.64	0.73	0.23	0.25	0.14
0.27	0.3	0.23	-2.59	0.71	0.42	-0.41
0.57	1.0	1.93	1.55	0.28	-0.56	0.07
0.15	-1.25	-1.09	-4.14	-0.33	-0.25	-0.5
0.11	0.26	-0.16	0.09	1.05	0.59	0.44
0.29	-0.79	0.32	0.99	0.28	-0.46	-0.66
0.35	1.29	-0.5	1.06	-0.45	0.74	-0.83
0.15	0.01	-1.04	-0.26	0.46	0.13	0.36
0.14	-3.3	-1.4	-1.92	-0.26	-0.12	-0.04
0.47	-1.94	-5.55	1.79	-0.78	-1.99	0.41
1.05	0.08	-0.52	6.52	0.15	0.08	0.94
0.25	0.59	0.09	-2.77	0.63	0.41	-0.27
0.33	0.12	-0.04	-2.76	0.7	0.4	-0.43
0.59	-1.43	-2.19	0.66	-0.28	-0.7	-0.06
0.39	0.98	0.81	1.19	-0.98	-0.22	-0.37
0.39	0.71	0.06	-3.65	0.5	0.06	-0.51
1.71	0.69	0.65	0.51	-1.14	0.42	-0.96
0.1	0.34	-0.4	0.16	0.13	-1.31	0.18
0.18	-0.7	1.0	0.68	-0.01	-0.71	-1.03
0.1	-0.03	0.32	0.63	-1.26	0.48	1.07
0.52	-3.65	-2.96	-2.56	-0.38	-0.38	-0.24
0.22	-6.68	6.18	-2.49	-0.91	0.6	-0.54
0.22	2.87	-1.96	3.13	1.28	-0.58	0.92
0.18	-0.64	0.87	-0.47	1.0	-0.41	0.64
0.27	0.56	-0.35	-0.45	0.87	-0.6	-0.61
0.16	3.0	-1.18	-0.29	-0.14	-0.22	-0.07
0.17	-0.32	-1.01	1.15	0.33	0.92	-0.2
0.35	-4.04	0.41	-3.09	-0.64	0.38	-0.46
0.7	-0.05	0.34	0.58	-1.1	0.04	1.53
0.8	-3.76	-0.93	-3.03	-0.64	-0.31	-0.23
0.11	-2.85	5.25	0.26	-0.43	0.24	-0.21
1.12	-0.04	0.35	0.58	-0.65	0.15	1.22
0.3	0.2	-0.39	-3.2	0.11	-0.39	-1.14
0.18	0.13	-0.35	0.06	-0.76	-1.26	-1.43
0.54	-0.64	-2.63	-2.97	-0.2	-0.15	-0.51
0.16	-2.66	1.58	-1.03	-0.09	-0.46	-0.62
0.18	-0.66	1.17	1.56	-0.4	0.62	0.59
0.64	4.47	1.28	0.28	0.2	0.07	-0.21
0.4	0.96	0.75	0.98	0.89	-0.26	0.77
0.37	-2.23	0.25	-1.15	-0.86	-0.1	-0.81
0.17	-3.47	-1.67	-2.46	-0.48	-0.35	-0.24
0.17	0.74	-0.87	-0.62	-0.06	-0.26	0.11
0.13	0.37	-0.04	0.16	0.13	0.17	1.41
0.4	0.68	-3.26	0.31	-0.45	-0.16	-0.19
0.14	-0.52	-0.57	0.29	0.74	0.38	0.18
0.1	-1.16	1.37	-0.38	-0.64	0.23	-0.52
0.16	-4.89	-8.64	-7.3	-0.85	-1.18	-1.11
3.01	-0.26	0.29	-0.25	1.06	0.3	-1.01
0.49	-0.23	0.26	-0.31	0.9	0.23	-1.17
0.86	-0.13	0.37	0.11	0.15	0.41	-0.61
2.32	0.18	-0.1	0.19	0.42	0.72	0.15
0.22	0.51	0.17	-0.49	-0.2	0.53	-0.73
0.18	0.79	-0.32	-1.39	0.39	-0.59	-0.44
0.28	0.06	0.52	0.57	-0.25	0.87	-0.44
0.18	-0.78	0.43	-0.37	0.11	-1.42	-0.8
0.3	-1.23	3.09	6.62	0.15	0.46	0.71
0.17	0.22	0.41	0.71	-1.35	0.26	0.49
1.17	3.89	1.82	1.51	0.2	0.38	-0.01
0.18	1.14	0.02	0.06	-1.29	-0.37	-0.6
0.11	3.51	-0.06	4.46	0.26	0.21	0.36
34.38	0.0	-0.09	0.18	-0.23	1.12	-0.28
5.3	-0.1	0.09	-0.04	-0.4	0.17	-1.11
0.54	-0.32	0.67	0.64	0.34	0.76	0.33
0.58	1.16	0.26	-0.38	0.02	0.61	-1.24
0.1	-0.8	-1.01	0.62	-0.2	-1.41	0.07
0.17	7.4	-4.69	3.29	1.04	-0.65	0.38
