Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	0.17	-0.94	-5.34	0.07	-0.11	-0.4
0.13	-0.4	1.34	-1.98	0.17	-0.0	0.17
0.22	-0.05	-0.73	-0.26	-0.57	0.55	-1.02
0.16	0.04	-0.62	-0.55	1.3	-0.54	-0.29
0.15	0.43	1.61	1.17	0.48	-0.59	-0.52
0.34	0.46	-1.2	2.61	0.22	0.4	0.09
0.27	-1.59	1.94	2.17	-0.52	-0.1	0.33
0.1	4.62	2.15	1.06	-0.03	0.16	0.14
0.27	1.86	1.05	-2.96	0.56	0.24	0.06
0.57	0.87	-0.21	0.9	-0.58	-1.02	-0.76
0.15	-1.97	-1.62	-5.03	-0.26	-0.19	-0.26
0.11	-0.45	1.14	0.65	-0.24	-0.3	-0.49
0.29	0.41	0.11	-0.17	-0.86	0.04	0.56
0.35	-1.86	0.66	-0.09	-0.98	-0.2	-0.08
0.15	-0.34	0.46	-0.34	-0.23	-0.97	-0.18
0.14	-3.57	-1.54	-1.84	0.03	0.01	0.1
0.47	-3.81	-10.3	2.75	-0.75	-1.9	0.38
1.05	0.44	-0.31	8.65	0.14	0.09	0.81
0.25	1.86	0.98	-2.83	0.39	0.33	0.15
0.33	1.72	0.86	-3.18	0.58	0.33	0.05
0.59	-1.74	-3.24	0.34	0.0	-0.2	-0.17
0.39	-0.5	-1.89	-0.76	0.03	-0.85	-0.47
0.39	1.79	0.14	-4.5	0.39	0.02	-0.21
1.71	-1.6	-1.08	-0.45	0.09	-0.85	0.05
0.1	-0.06	0.5	0.05	0.7	0.77	0.24
0.18	2.5	-0.27	0.87	1.3	0.11	0.77
0.1	-0.08	0.09	-0.52	0.06	-0.05	-0.32
0.52	-4.43	-3.74	-2.99	-0.26	-0.27	-0.13
0.22	-8.86	7.59	-3.78	-0.87	0.56	-0.52
0.22	5.86	-3.27	5.23	1.17	-0.5	0.81
0.18	-0.2	-0.19	0.51	0.09	-2.02	1.64
0.27	1.26	-0.86	-0.63	-0.23	0.14	0.23
0.16	1.99	-1.42	-0.36	-0.7	0.05	0.02
0.17	1.08	1.77	-1.17	0.42	0.6	-0.88
0.35	-5.39	1.28	-4.05	-0.48	0.34	-0.34
0.7	-0.18	0.25	0.3	-0.49	1.44	1.41
0.8	-4.89	-1.5	-3.5	0.14	-0.45	-0.21
0.11	-3.8	5.66	-0.26	-0.34	0.1	-0.21
1.12	-0.18	0.25	0.29	-2.16	0.46	2.27
0.3	0.3	-1.3	-5.54	0.01	-0.34	-0.81
0.18	-0.38	-0.02	-0.47	0.39	0.66	1.03
0.54	-1.13	-2.69	-3.94	-0.19	0.16	-0.24
0.16	-2.31	0.06	-2.25	0.37	-0.73	-0.3
0.18	-1.07	1.84	2.05	-0.03	0.06	-0.15
0.64	4.61	1.38	-0.21	-0.07	0.01	-0.19
0.4	1.78	-0.33	1.73	-0.01	-0.43	-0.03
0.37	-3.58	0.18	-3.0	-0.35	-0.02	-0.65
0.17	-4.37	-2.37	-2.88	-0.28	-0.23	-0.12
0.17	0.51	0.66	0.34	1.18	0.28	0.07
0.13	-1.2	0.26	-0.14	0.43	0.18	-0.61
0.4	-0.48	-2.97	-0.18	-0.46	0.41	-0.2
0.14	0.11	1.36	1.3	-0.38	0.17	0.21
0.1	-1.9	1.09	-1.21	-0.02	-0.38	-0.17
0.16	-6.95	-11.51	-10.01	-0.83	-1.16	-1.09
3.01	0.04	-0.15	0.52	-1.74	0.53	0.34
0.49	0.06	-0.17	0.46	-1.9	0.65	0.52
0.86	-0.64	0.91	0.06	-0.42	0.29	-0.14
2.32	0.3	0.51	-0.34	0.33	0.42	-0.24
0.22	0.44	-0.08	0.07	0.92	-0.23	-0.46
0.18	1.18	-1.36	-1.4	-0.08	-0.23	0.35
0.28	0.65	0.27	0.21	1.1	0.28	0.29
0.18	0.88	-2.03	-0.1	0.66	-0.35	0.49
0.3	-0.84	4.15	8.23	0.17	0.41	0.61
0.17	0.73	0.29	-0.09	-0.06	0.4	0.81
1.17	3.93	2.72	1.71	0.01	0.32	0.2
0.18	0.02	0.35	-2.81	0.06	0.25	-1.0
0.11	3.99	0.46	5.15	0.14	0.21	0.21
34.38	-0.1	0.2	0.39	-0.15	1.74	2.23
5.3	-0.65	-0.37	-0.11	-0.56	0.07	-0.12
0.54	-0.03	0.23	-0.35	0.12	-0.12	0.2
0.58	0.2	1.17	-2.22	-0.57	0.16	-0.37
0.1	-0.52	-3.03	0.17	0.24	-0.42	-0.28
