Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	-0.26	-0.36	-1.63	0.14	-0.1	-1.37
0.13	0.34	0.11	1.08	-1.42	-0.61	-0.16
0.22	-0.83	-0.48	-0.07	0.05	0.85	0.05
0.16	1.44	0.48	1.58	-0.29	0.6	0.51
0.15	-1.36	0.94	1.32	-0.1	0.77	0.5
0.34	-0.2	0.33	-0.43	-0.45	-1.59	0.1
0.27	-0.06	-1.12	-0.5	0.92	0.7	0.21
0.1	3.55	0.86	0.43	0.52	0.41	0.08
0.27	-1.24	-0.75	-0.73	0.38	0.23	-1.22
0.57	0.04	2.34	0.93	0.46	0.24	0.42
0.15	-0.37	-0.39	-2.45	-0.43	-0.31	-1.06
0.11	0.09	0.37	0.37	-0.2	-0.52	-1.09
0.29	0.05	0.13	-0.43	0.04	0.15	0.9
0.35	1.42	-1.57	2.23	0.18	0.21	-0.23
0.15	0.38	0.42	0.07	-0.06	-0.22	-0.8
0.14	-2.27	-0.91	-1.64	-0.67	-0.32	-0.23
0.47	0.01	-0.38	0.62	-0.9	-2.89	0.85
1.05	-0.25	-0.67	4.06	0.13	0.04	1.19
0.25	-0.95	-0.87	-1.27	0.53	0.28	-1.05
0.33	-1.37	-0.86	-0.94	0.39	0.17	-1.15
0.59	0.38	0.62	0.29	-1.01	-0.77	-0.08
0.39	2.04	0.58	1.2	0.02	0.34	0.24
0.39	-0.58	-0.2	-1.81	0.58	0.2	-1.15
1.71	1.05	-0.81	1.45	0.45	0.41	0.17
0.1	-0.21	0.69	0.47	-0.44	-0.56	-1.23
0.18	0.17	1.15	1.97	-0.52	0.39	-0.0
0.1	-0.6	0.77	0.68	0.56	-0.71	-0.69
0.52	-2.52	-1.86	-1.82	-0.62	-0.59	-0.4
0.22	-4.45	4.71	-1.2	-0.99	0.67	-0.56
0.22	-0.42	0.15	0.54	0.68	-2.06	0.38
0.18	-2.05	0.8	-1.1	0.28	0.33	0.09
0.27	-0.37	-0.03	0.2	-0.03	-0.04	-0.86
0.16	2.69	-0.44	-0.03	0.45	-0.42	-0.16
0.17	-0.6	-1.74	0.67	-0.04	-0.23	0.43
0.35	-2.15	-0.51	-1.7	-1.04	0.37	-0.72
0.7	0.17	-1.41	0.49	0.11	-0.08	-0.03
0.8	-2.1	-0.25	-2.11	-1.02	-0.31	-0.54
0.11	-1.73	4.46	0.76	-0.53	0.44	-0.2
1.12	0.17	-1.41	0.49	0.21	-0.29	-0.29
0.3	0.06	-0.07	0.4	-1.61	1.4	0.01
0.18	0.04	-0.0	0.61	0.57	1.03	-0.07
0.54	-0.16	-1.85	-1.43	-0.17	-0.61	-0.83
0.16	-1.97	2.25	0.54	-0.5	-0.08	-0.67
0.18	-0.58	0.3	0.21	-0.17	0.27	-0.0
0.64	3.62	1.01	0.8	0.56	0.16	-0.24
0.4	-0.88	-0.77	0.17	-0.18	0.56	-0.35
0.37	1.15	0.44	0.81	-1.05	-0.04	-0.12
0.17	-1.95	-0.85	-1.91	-0.83	-0.45	-0.37
0.17	-0.78	0.25	0.94	-0.0	0.14	-0.5
0.13	-0.0	0.34	0.57	-1.34	0.24	2.41
0.4	1.52	-2.28	0.7	-0.23	-0.69	-0.12
0.14	0.86	0.21	0.41	-0.16	-0.07	-0.86
0.1	-0.56	-0.91	0.33	0.46	0.24	0.41
0.16	-2.86	-5.81	-4.64	-0.88	-1.24	-1.16
3.01	1.17	-1.01	1.1	-0.5	-0.23	0.17
0.49	1.17	-1.0	1.08	-0.89	0.06	-0.49
0.86	2.03	0.25	1.18	-0.3	-0.04	0.53
2.32	0.04	0.06	0.4	-1.64	-0.46	1.85
0.22	-1.0	0.8	1.01	0.22	-0.53	0.59
0.18	-0.01	-0.48	0.81	-0.73	0.29	0.41
0.28	-0.02	0.3	0.57	-0.71	-1.34	-1.85
0.18	0.3	1.4	1.54	-0.74	0.39	-0.45
0.3	-1.53	1.95	4.8	0.1	0.52	0.86
0.17	-0.73	-0.14	0.13	0.44	-0.97	-0.54
1.17	3.32	0.9	1.35	0.36	0.26	0.15
0.18	2.23	0.69	1.4	0.1	-0.15	-0.45
0.11	2.71	-0.53	3.36	0.44	0.18	0.59
34.38	0.13	0.05	0.52	-0.08	0.3	0.06
5.3	0.12	0.07	0.54	-0.32	-0.42	0.79
0.54	0.34	-1.39	-0.87	-0.28	0.09	0.26
0.58	-0.71	0.18	-0.4	-0.27	0.5	1.29
0.1	1.61	0.76	0.56	-0.62	0.26	-0.37
0.17	4.85	-3.1	2.37	1.13	-0.71	0.42
