Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	0.01	-0.64	-3.93	0.07	-0.13	-0.75
0.13	-0.66	0.8	-1.51	-0.01	0.45	-0.63
0.22	0.67	-0.81	1.36	0.13	-0.56	-0.02
0.16	0.06	1.24	1.61	-0.82	-0.1	-0.49
0.15	-0.87	2.03	1.83	0.42	0.21	-0.01
0.34	-0.16	-1.66	1.57	0.23	-0.13	0.75
0.27	0.11	1.43	1.17	-0.8	0.7	0.69
0.1	4.37	1.61	0.71	0.24	0.26	0.14
0.27	0.22	0.19	-2.55	0.71	0.43	-0.43
0.57	0.97	1.98	1.54	0.3	-0.53	0.09
0.15	-1.22	-1.06	-4.08	-0.34	-0.25	-0.51
0.11	0.13	-0.21	0.06	1.34	0.33	0.03
0.29	-0.81	0.37	1.06	0.19	-0.42	-0.58
0.35	1.34	-0.57	1.14	-0.39	0.71	-0.79
0.15	-0.04	-1.05	-0.3	0.46	0.03	0.28
0.14	-3.27	-1.39	-1.92	-0.27	-0.13	-0.04
0.47	-1.86	-5.34	1.74	-0.78	-2.0	0.41
1.05	0.07	-0.53	6.42	0.15	0.08	0.95
0.25	0.52	0.05	-2.74	0.64	0.41	-0.29
0.33	0.05	-0.08	-2.72	0.7	0.4	-0.45
0.59	-1.4	-2.12	0.66	-0.3	-0.72	-0.06
0.39	1.08	0.83	1.23	-0.92	-0.18	-0.31
0.39	0.66	0.05	-3.59	0.5	0.06	-0.53
1.71	0.8	0.6	0.61	-1.01	0.5	-0.92
0.1	0.32	-0.25	0.15	0.3	-1.54	0.01
0.18	-0.7	1.07	0.78	-0.08	-0.62	-0.99
0.1	0.09	0.25	0.47	-1.0	0.91	1.76
0.52	-3.61	-2.92	-2.53	-0.38	-0.39	-0.24
0.22	-6.58	6.12	-2.43	-0.92	0.6	-0.54
0.22	2.74	-1.9	3.03	1.29	-0.59	0.93
0.18	-0.74	0.91	-0.53	0.95	-0.34	0.57
0.27	0.47	-0.29	-0.38	0.95	-0.63	-0.74
0.16	3.01	-1.15	-0.28	-0.12	-0.23	-0.07
0.17	-0.35	-1.1	1.17	0.31	0.85	-0.14
0.35	-3.97	0.37	-3.04	-0.65	0.38	-0.47
0.7	0.02	0.29	0.42	-0.67	0.99	1.91
0.8	-3.7	-0.91	-3.01	-0.7	-0.16	-0.26
0.11	-2.81	5.23	0.28	-0.43	0.25	-0.21
1.12	0.03	0.29	0.41	-0.54	0.83	1.64
0.3	0.19	-0.35	-3.08	0.11	-0.39	-1.16
0.18	0.2	-0.2	0.21	-0.53	-1.71	-1.66
0.54	-0.62	-2.62	-2.92	-0.2	-0.15	-0.52
0.16	-2.65	1.63	-0.96	-0.1	-0.45	-0.63
0.18	-0.62	1.1	1.49	-0.43	0.66	0.64
0.64	4.45	1.27	0.3	0.21	0.08	-0.21
0.4	0.87	0.77	0.9	0.97	-0.2	0.82
0.37	-2.14	0.26	-1.06	-0.89	-0.09	-0.82
0.17	-3.42	-1.63	-2.44	-0.5	-0.36	-0.24
0.17	0.74	-0.84	-0.63	-0.02	-0.31	0.05
0.13	0.33	-0.05	0.03	0.46	0.16	1.09
0.4	0.72	-3.24	0.33	-0.44	-0.18	-0.19
0.14	-0.58	-0.6	0.27	0.61	0.27	0.18
0.1	-1.09	1.35	-0.32	-0.67	0.27	-0.54
0.16	-4.8	-8.52	-7.19	-0.85	-1.19	-1.12
3.01	-0.36	0.25	-0.14	0.9	0.42	-1.17
0.49	-0.33	0.24	-0.16	1.04	0.18	-1.68
0.86	-0.13	0.31	0.18	0.01	0.78	-0.9
2.32	0.07	-0.1	0.22	1.55	-0.41	-0.71
0.22	0.53	0.12	-0.4	-0.12	0.56	-0.86
0.18	0.75	-0.25	-1.34	0.41	-0.6	-0.5
0.28	0.08	0.42	0.61	-0.16	1.25	-0.23
0.18	-0.79	0.57	-0.29	0.03	-1.34	-0.87
0.3	-1.24	3.05	6.55	0.15	0.46	0.71
0.17	0.35	0.37	0.64	-1.18	0.46	0.7
1.17	3.87	1.77	1.51	-0.05	0.24	0.14
0.18	1.26	0.06	0.12	-1.18	-0.37	-0.62
0.11	3.49	-0.08	4.42	0.26	0.21	0.37
34.38	0.03	-0.01	0.31	3.02	-2.23	-5.38
5.3	-0.06	0.06	0.11	-0.39	0.39	-1.78
0.54	-0.35	0.59	0.6	0.21	0.98	0.45
0.58	1.15	0.19	-0.25	0.1	0.63	-1.29
0.1	-0.78	-0.87	0.61	-0.28	-1.48	0.11
0.17	7.29	-4.62	3.26	1.05	-0.65	0.38
