Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	-0.29	-0.33	0.51	0.06	-0.09	-1.75
0.13	1.48	0.55	0.5	-0.35	-0.06	0.61
0.22	-0.23	-1.03	-0.32	-0.7	-0.13	0.39
0.16	1.36	-0.29	0.65	0.51	0.6	0.9
0.15	-0.74	-0.2	0.36	-1.06	1.04	1.21
0.34	0.33	1.68	-0.02	-0.38	-0.69	-0.58
0.27	-1.12	-1.42	-0.6	0.7	-0.17	-0.01
0.1	2.73	0.32	0.37	0.86	0.48	0.01
0.27	-1.25	-0.72	0.79	-0.36	-0.3	-1.11
0.57	-0.42	1.68	0.32	0.27	0.91	0.46
0.15	0.05	-0.08	-0.81	-0.14	-0.13	-1.76
0.11	-0.04	-0.72	0.46	0.02	0.38	0.33
0.29	-0.51	-0.43	-0.7	0.08	0.09	-0.12
0.35	1.11	-1.69	2.37	0.31	-0.01	0.01
0.15	0.44	-0.12	0.49	-0.49	-0.09	0.57
0.14	-1.2	-0.41	-1.2	-1.14	-0.52	-0.55
0.47	1.31	-0.53	0.86	-0.54	-0.03	-0.21
1.05	-0.39	-0.67	2.44	0.07	-0.06	1.5
0.25	-1.27	-0.88	0.21	-0.09	-0.3	-1.23
0.33	-1.42	-0.82	0.52	-0.31	-0.27	-1.13
0.59	0.81	0.56	0.73	0.32	0.85	-0.63
0.39	1.57	0.18	0.9	0.73	0.06	0.24
0.39	-1.17	-0.33	-0.11	0.09	-0.08	-1.57
1.71	0.37	-0.91	0.88	0.61	-0.38	0.71
0.1	0.7	0.17	1.39	-0.8	0.78	0.14
0.18	0.72	0.47	1.48	-0.32	0.72	0.91
0.1	-0.74	1.03	1.22	-0.23	0.07	-0.2
0.52	-1.61	-1.0	-1.24	-0.91	-0.85	-0.58
0.22	-3.2	3.84	-0.5	-1.05	0.75	-0.58
0.22	-0.27	1.7	0.87	-0.52	-0.72	-0.48
0.18	-2.06	0.14	-1.17	-0.36	0.67	-0.02
0.27	0.46	0.52	0.93	-1.51	-0.7	0.14
0.16	1.86	0.15	0.24	0.95	-0.49	-0.31
0.17	-0.4	-1.04	-0.08	-0.28	-1.01	0.83
0.35	-0.59	-0.8	-0.65	-1.68	-0.05	-1.04
0.7	-0.11	-0.52	0.51	0.19	-1.12	0.42
0.8	-0.78	0.13	-1.21	-1.34	-0.01	-1.08
0.11	-1.05	3.83	0.99	-0.58	0.61	-0.18
1.12	-0.11	-0.52	0.51	0.29	-1.33	0.16
0.3	1.18	0.15	0.75	-0.11	-0.55	-0.26
0.18	0.84	-0.05	1.35	-0.56	0.72	-0.26
0.54	-0.08	-0.67	-0.23	0.2	-1.62	-0.97
0.16	-1.21	2.18	1.32	-0.74	0.21	-0.58
0.18	0.34	0.12	0.71	-0.97	-0.72	-0.25
0.64	2.85	0.8	1.16	0.62	0.25	-0.29
0.4	-0.28	-0.81	0.37	-0.68	-0.54	0.08
0.37	1.86	0.29	0.84	-0.16	0.27	0.03
0.17	-0.69	-0.19	-1.21	-1.24	-0.57	-0.94
0.17	0.13	0.11	0.43	-1.29	-0.53	1.25
0.13	0.6	-0.12	0.47	-0.09	0.75	0.49
0.4	1.66	-1.22	0.81	0.05	-1.08	-0.04
0.14	0.01	0.43	0.74	0.73	-0.3	0.97
0.1	-0.81	-0.46	-0.26	-0.2	-1.02	0.39
0.16	-1.77	-4.26	-3.2	-0.9	-1.3	-1.2
3.01	1.53	-0.4	0.8	0.03	-0.89	0.32
0.49	1.53	-0.4	0.77	-0.35	-0.63	-0.23
0.86	1.6	0.1	0.79	0.63	0.42	0.37
2.32	1.36	0.41	0.07	-0.51	-0.17	-0.27
0.22	-0.78	1.02	0.09	-0.53	0.19	0.84
0.18	0.66	0.3	0.18	-0.16	-1.01	0.11
0.28	0.09	0.36	0.4	0.11	0.53	1.4
0.18	1.01	0.63	1.67	-0.38	0.84	0.28
0.3	-1.63	1.28	3.67	0.04	0.57	1.0
0.17	0.13	-0.03	0.88	-1.37	0.11	-0.02
1.17	2.66	0.38	1.15	0.8	0.5	0.16
0.18	1.88	0.76	1.78	0.47	0.02	-0.14
0.11	2.09	-0.72	2.53	0.59	0.11	0.8
34.38	0.74	0.27	0.92	-0.57	-0.03	-0.08
5.3	0.75	0.27	0.92	1.15	0.65	1.71
0.54	0.48	-1.17	-0.96	0.09	-0.45	-0.12
0.58	-0.11	-0.55	-1.25	-0.43	0.63	0.03
0.1	1.94	0.26	1.0	0.1	0.52	-0.31
0.17	3.41	-2.19	1.83	1.23	-0.78	0.46
