Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	-0.19	-0.41	-2.29	0.14	-0.14	-1.2
0.13	-0.44	-0.08	0.62	-1.25	0.13	-1.73
0.22	-0.65	0.0	-0.01	0.75	1.07	0.33
0.16	1.24	0.77	1.79	-0.47	0.52	0.3
0.15	-1.36	1.3	1.53	0.09	0.64	0.36
0.34	-0.36	-0.52	-0.15	-0.17	-1.47	1.03
0.27	0.39	-0.67	-0.34	0.8	1.06	0.43
0.1	3.79	1.07	0.48	0.43	0.39	0.1
0.27	-0.99	-0.59	-1.31	0.59	0.36	-1.04
0.57	0.28	2.41	1.12	0.46	0.04	0.36
0.15	-0.57	-0.56	-2.93	-0.4	-0.32	-0.87
0.11	-0.21	0.35	0.5	-1.48	1.63	0.58
0.29	-0.06	0.24	0.61	-1.01	1.36	2.3
0.35	1.49	-1.44	2.09	0.11	0.31	-0.34
0.15	0.16	0.15	-0.16	-0.76	-0.75	0.0
0.14	-2.58	-1.05	-1.74	-0.55	-0.26	-0.17
0.47	-0.45	-1.68	0.96	-0.86	-2.33	0.53
1.05	-0.18	-0.65	4.65	0.14	0.05	1.11
0.25	-0.66	-0.69	-1.76	0.63	0.4	-0.87
0.33	-1.12	-0.74	-1.49	0.56	0.29	-0.99
0.59	-0.39	-0.18	0.53	-1.24	-1.97	0.4
0.39	2.0	0.73	1.3	-0.17	0.24	0.15
0.39	-0.28	-0.11	-2.34	0.57	0.15	-0.96
1.71	1.24	-0.56	1.48	0.27	0.57	-0.07
0.1	-0.24	0.0	0.1	0.47	-1.79	0.12
0.18	-0.09	1.31	1.9	-0.49	0.24	-0.27
0.1	-0.04	-0.04	0.45	0.67	-2.27	-0.06
0.52	-2.82	-2.14	-2.01	-0.54	-0.53	-0.35
0.22	-4.95	5.04	-1.48	-0.97	0.65	-0.55
0.22	0.3	-0.66	1.14	1.57	-1.03	1.44
0.18	-1.88	0.94	-1.05	0.4	0.21	0.13
0.27	-0.07	0.05	0.0	0.85	0.31	0.32
0.16	2.87	-0.64	-0.11	0.29	-0.37	-0.14
0.17	-0.61	-1.8	0.87	0.02	0.02	0.35
0.35	-2.65	-0.31	-2.06	-0.91	0.39	-0.66
0.7	0.24	-1.42	0.38	0.06	0.3	-0.08
0.8	-2.53	-0.42	-2.38	-0.81	-0.46	-0.44
0.11	-2.0	4.68	0.65	-0.5	0.39	-0.21
1.12	0.25	-1.42	0.38	0.15	0.09	-0.34
0.3	-0.06	0.24	-0.52	0.21	-0.16	-2.08
0.18	-0.58	0.4	0.71	-0.48	0.99	0.8
0.54	-0.25	-2.12	-1.83	-0.18	-0.46	-0.75
0.16	-2.2	2.19	0.19	-0.41	-0.18	-0.68
0.18	-0.3	0.26	0.37	1.72	-0.71	1.14
0.64	3.88	1.09	0.68	0.46	0.13	-0.23
0.4	-0.86	-0.36	-0.03	0.23	1.04	-0.34
0.37	0.47	0.36	0.69	-1.69	-0.34	-0.43
0.17	-2.35	-1.06	-2.07	-0.73	-0.38	-0.28
0.17	-0.47	0.28	0.54	1.62	-0.23	-1.06
0.13	-0.66	0.01	0.83	-0.66	-0.54	-0.38
0.4	1.38	-2.6	0.63	-0.3	-0.56	-0.15
0.14	0.55	0.13	0.05	-1.04	-0.25	-0.5
0.1	-0.26	-0.62	0.51	0.7	0.98	0.28
0.16	-3.31	-6.43	-5.23	-0.87	-1.22	-1.14
3.01	0.84	-1.03	1.09	-0.81	0.14	-0.21
0.49	0.83	-1.03	1.09	-0.21	-0.26	0.59
0.86	1.78	0.13	1.21	-0.56	-0.21	-0.09
2.32	-0.28	0.28	0.86	0.18	-0.8	-1.82
0.22	-0.78	0.47	1.23	0.65	-0.76	0.24
0.18	-0.28	0.07	0.72	-0.05	1.89	-0.92
0.28	-0.24	0.26	0.47	-0.22	1.96	-2.75
0.18	-0.06	1.54	1.26	-0.67	0.12	-0.67
0.3	-1.48	2.21	5.23	0.12	0.5	0.82
0.17	-0.31	-0.54	-0.08	1.09	-0.42	-0.27
1.17	3.49	1.11	1.41	0.36	0.62	0.06
0.18	2.23	0.59	1.15	-0.1	-0.22	-0.53
0.11	2.92	-0.44	3.65	0.39	0.19	0.53
34.38	-0.12	0.09	0.43	0.65	0.41	0.18
5.3	-0.13	0.1	0.43	-0.22	0.93	0.77
0.54	0.18	-1.29	-0.69	-0.34	0.34	0.44
0.58	-0.69	0.35	0.36	0.58	0.08	1.66
0.1	1.2	0.85	0.38	-0.97	0.06	-0.33
0.17	5.42	-3.46	2.58	1.11	-0.69	0.41
