Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	-0.29	-0.34	-1.34	0.17	-0.12	-1.48
0.13	0.61	0.24	1.08	-1.23	-0.63	0.22
0.22	-0.81	-0.64	-0.08	-0.22	0.73	0.06
0.16	1.49	0.36	1.47	-0.2	0.62	0.59
0.15	-1.33	0.77	1.21	-0.21	0.83	0.57
0.34	-0.1	0.63	-0.43	-0.45	-1.39	-0.11
0.27	-0.25	-1.24	-0.54	0.92	0.55	0.15
0.1	3.44	0.78	0.42	0.56	0.42	0.07
0.27	-1.31	-0.79	-0.47	0.26	0.17	-1.26
0.57	-0.05	2.29	0.84	0.46	0.31	0.45
0.15	-0.28	-0.33	-2.22	-0.42	-0.27	-1.13
0.11	-0.03	0.24	0.62	0.82	1.82	-0.32
0.29	0.04	0.06	-0.58	0.08	0.48	0.54
0.35	1.38	-1.61	2.28	0.21	0.17	-0.19
0.15	0.36	0.43	0.26	0.24	0.12	-1.14
0.14	-2.13	-0.84	-1.59	-0.73	-0.34	-0.26
0.47	0.31	-0.08	0.53	-1.68	1.21	-0.36
1.05	-0.28	-0.68	3.81	0.13	0.03	1.23
0.25	-1.06	-0.92	-1.05	0.47	0.21	-1.13
0.33	-1.44	-0.89	-0.7	0.29	0.12	-1.19
0.59	0.56	0.75	0.32	-0.77	-0.45	-0.22
0.39	2.03	0.51	1.15	0.11	0.4	0.28
0.39	-0.7	-0.24	-1.56	0.62	0.21	-1.24
1.71	0.96	-0.89	1.41	0.5	0.34	0.28
0.1	-0.1	0.75	0.72	-0.6	-0.01	-1.22
0.18	0.27	1.06	1.96	-0.51	0.44	0.11
0.1	-0.69	0.88	0.81	0.36	-0.45	-0.6
0.52	-2.39	-1.73	-1.74	-0.65	-0.62	-0.42
0.22	-4.25	4.57	-1.08	-1.0	0.68	-0.56
0.22	-0.49	0.56	0.56	0.15	-1.65	-0.38
0.18	-2.1	0.73	-1.12	0.23	0.39	0.09
0.27	-0.33	0.0	0.4	-0.31	-0.3	-1.01
0.16	2.59	-0.35	0.0	0.53	-0.44	-0.17
0.17	-0.59	-1.69	0.58	-0.07	-0.34	0.47
0.35	-1.93	-0.58	-1.55	-1.09	0.34	-0.76
0.7	0.13	-1.35	0.53	0.13	-0.25	-0.0
0.8	-1.91	-0.18	-2.0	-0.89	-0.55	-0.56
0.11	-1.63	4.37	0.8	-0.53	0.47	-0.2
1.12	0.14	-1.35	0.53	0.23	-0.46	-0.26
0.3	0.38	-0.22	0.45	-1.36	0.24	-0.34
0.18	0.02	-0.07	0.53	-0.32	-0.28	0.57
0.54	-0.13	-1.72	-1.25	-0.15	-0.68	-0.88
0.16	-1.86	2.26	0.68	-0.54	-0.03	-0.67
0.18	-0.5	0.23	0.23	-0.53	0.43	-0.21
0.64	3.5	0.98	0.85	0.6	0.16	-0.25
0.4	-0.82	-0.87	0.24	-0.32	0.37	-0.28
0.37	1.35	0.44	0.83	-0.85	0.02	-0.07
0.17	-1.77	-0.75	-1.83	-0.88	-0.48	-0.41
0.17	-0.75	0.22	1.01	-0.34	0.17	-0.19
0.13	0.06	0.07	0.42	-0.72	1.51	-0.31
0.4	1.57	-2.13	0.73	-0.2	-0.74	-0.11
0.14	0.86	0.23	0.59	0.2	-0.06	-0.89
0.1	-0.64	-0.94	0.24	0.37	0.03	0.46
0.16	-2.68	-5.55	-4.41	-0.88	-1.25	-1.16
3.01	1.27	-0.96	1.08	-0.44	-0.3	0.09
0.49	1.26	-0.94	1.05	-0.57	-0.3	0.47
0.86	2.01	0.22	1.11	0.25	0.05	0.12
2.32	0.39	0.13	0.17	-1.58	-0.34	0.65
0.22	-1.03	0.9	0.88	0.06	-0.42	0.67
0.18	0.14	-0.5	0.7	-0.69	-0.06	0.6
0.28	0.13	0.35	0.61	-0.57	4.56	4.5
0.18	0.44	1.31	1.62	-0.69	0.47	-0.34
0.3	-1.55	1.84	4.62	0.09	0.53	0.88
0.17	-0.78	0.04	0.27	-0.02	-0.69	-0.75
1.17	3.23	0.81	1.33	0.32	0.26	0.21
0.18	2.21	0.71	1.49	0.17	-0.12	-0.41
0.11	2.62	-0.57	3.24	0.46	0.17	0.62
34.38	0.14	0.07	0.49	-0.19	-0.24	0.01
5.3	0.15	0.07	0.5	1.74	-0.95	1.04
0.54	0.4	-1.4	-0.92	-0.23	0.0	0.2
0.58	-0.64	0.07	-0.65	-0.42	0.61	1.13
0.1	1.72	0.7	0.63	-0.5	0.31	-0.38
0.17	4.62	-2.95	2.28	1.15	-0.72	0.42
