Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	0.82	0.77	2.09	-0.51	-0.22	0.59
0.13	-0.51	0.62	0.14	0.36	-0.21	1.65
0.22	0.2	0.29	1.11	-1.28	0.73	-0.4
0.16	0.43	0.31	0.89	-0.66	0.89	-0.85
0.15	-0.24	0.07	-0.37	-0.8	0.5	-1.22
0.34	0.93	1.55	1.61	-0.01	0.76	-0.35
0.27	-0.82	0.41	-0.27	-1.34	-0.6	-0.52
0.1	-1.09	1.09	0.18	0.35	-0.58	0.66
0.27	1.1	0.7	1.34	-0.84	0.03	1.48
0.57	0.33	0.4	0.43	0.62	0.01	-0.1
0.15	0.37	0.78	1.8	-0.6	-0.04	0.42
0.11	0.42	0.53	1.04	-1.05	1.02	-0.55
0.29	0.82	0.26	0.97	0.25	0.9	0.19
0.35	0.01	-0.56	1.17	0.35	-0.99	1.08
0.15	0.07	0.13	0.15	-0.65	0.75	0.19
0.14	0.57	0.51	1.68	-0.29	-0.46	0.33
0.47	-0.12	-0.09	0.18	-0.69	0.36	0.67
1.05	0.4	0.42	1.0	-1.02	0.94	-0.59
0.25	1.2	0.8	1.2	-1.0	0.17	1.08
0.33	1.21	0.77	1.24	-0.81	-0.13	1.21
0.59	-0.02	0.7	0.56	0.22	0.07	-0.24
0.39	0.26	-0.27	0.14	-1.68	-0.19	1.41
0.39	1.31	0.57	1.22	-0.55	0.03	1.13
1.71	0.26	-0.39	0.16	-0.78	0.84	1.05
0.1	-0.65	0.16	-0.2	1.07	-0.0	0.62
0.18	-0.81	0.17	0.05	0.35	0.75	1.52
0.1	-0.12	-0.36	-0.06	-0.57	0.54	0.16
0.52	0.89	0.53	1.07	-1.21	-0.31	1.16
0.22	0.3	0.87	1.06	-1.49	1.74	-0.31
0.22	0.82	0.7	1.42	-0.32	1.54	0.54
0.18	0.02	0.28	0.47	0.38	-0.35	-0.55
0.27	-1.08	0.91	-0.0	0.28	-0.09	0.08
0.16	-0.04	-0.2	-0.15	-1.01	0.02	1.51
0.17	0.91	0.24	1.09	-0.99	-0.96	-0.97
0.35	0.67	0.94	2.13	0.13	0.16	-0.15
0.7	0.77	0.55	1.41	-0.57	1.53	0.67
0.8	0.88	0.51	1.13	-1.05	-0.26	1.14
0.11	0.77	0.97	1.19	-0.64	1.8	0.2
1.12	0.77	0.56	1.4	-1.0	0.82	0.66
0.3	-0.09	-0.03	-0.06	-0.19	0.93	-0.31
0.18	-0.89	0.13	0.29	0.61	1.05	1.0
0.54	0.9	0.6	1.33	-0.52	1.44	0.34
0.16	1.26	0.17	1.54	-0.47	1.21	1.02
0.18	-0.85	0.23	0.25	0.43	1.32	0.7
0.64	-0.86	0.39	-0.23	0.39	-1.08	1.0
0.4	0.31	-0.4	-0.04	0.18	0.32	0.53
0.37	-0.22	0.55	0.44	0.08	0.19	-0.07
0.17	0.9	0.53	1.35	-0.58	-0.44	1.37
0.17	0.61	0.67	1.08	-0.45	0.42	-0.23
0.13	-0.5	0.57	0.29	-0.57	0.74	0.06
0.4	-1.14	0.49	0.25	0.52	0.87	0.73
0.14	0.23	-0.29	0.03	-0.87	0.17	0.66
0.1	0.61	0.44	1.71	-0.27	-0.46	-0.02
0.16	0.08	-0.1	0.18	0.28	0.6	-0.13
3.01	0.0	-0.11	-0.16	-1.15	-0.13	1.72
0.49	0.0	-0.11	-0.18	-1.44	0.03	1.15
0.86	0.13	-0.16	-0.01	-0.12	0.68	0.91
2.32	-0.82	0.76	0.04	0.96	-0.97	0.2
0.22	-0.21	-0.75	0.33	0.44	-0.83	-0.41
0.18	-0.02	-0.21	-0.13	-0.82	-0.2	1.53
0.28	-0.13	-0.19	-0.36	-1.41	-1.04	-2.07
0.18	0.27	-0.43	-0.04	-0.38	1.66	1.09
0.3	-0.76	-0.45	-0.14	-1.24	0.29	1.87
0.17	-0.98	0.35	0.2	0.73	1.18	0.64
1.17	-0.23	0.58	0.45	0.22	0.41	0.09
0.18	-0.01	-0.21	0.26	-0.11	1.4	0.21
0.11	-0.83	0.81	-0.4	1.12	-0.57	0.2
34.38	-0.8	0.28	0.06	0.98	1.05	1.06
5.3	-0.8	0.26	0.07	0.15	-1.88	-0.19
0.54	-0.03	0.7	1.55	-0.95	-0.16	-0.6
0.58	0.7	0.58	0.81	-1.24	0.44	-0.54
0.1	-0.16	0.61	0.44	0.53	0.29	-0.26
0.17	-0.83	0.19	0.05	0.76	0.84	1.31
0.24	1.13	0.63	1.25	-1.19	-0.1	0.89
