Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	0.14	-0.88	-5.12	0.07	-0.11	-0.45
0.13	-0.48	1.32	-2.03	0.15	0.08	0.03
0.22	0.26	-0.91	0.34	-0.59	0.55	-1.19
0.16	-0.59	-0.21	-0.27	1.01	-1.1	-0.89
0.15	0.17	1.87	1.41	0.52	-0.42	-0.4
0.34	0.34	-1.39	2.53	0.23	0.33	0.22
0.27	-1.32	2.0	2.02	-0.55	-0.04	0.2
0.1	4.63	2.06	0.99	0.02	0.18	0.14
0.27	1.56	0.92	-2.97	0.59	0.28	-0.02
0.57	1.09	0.32	1.22	-0.28	-1.04	-0.5
0.15	-1.84	-1.52	-4.89	-0.27	-0.2	-0.3
0.11	-0.31	1.19	0.85	-0.33	0.07	-0.31
0.29	0.67	0.04	-0.31	-0.14	0.22	0.02
0.35	-1.29	0.73	-0.05	-1.26	-0.05	-0.11
0.15	-0.16	0.72	-0.08	-0.47	-0.02	-0.73
0.14	-3.57	-1.54	-1.88	-0.03	-0.02	0.07
0.47	-3.42	-9.32	2.55	-0.75	-1.91	0.38
1.05	0.37	-0.35	8.23	0.14	0.09	0.83
0.25	1.65	0.81	-2.9	0.44	0.34	0.1
0.33	1.41	0.69	-3.18	0.61	0.34	-0.03
0.59	-1.73	-3.12	0.43	-0.04	-0.29	-0.16
0.39	-0.5	-1.4	-0.49	-0.02	-1.09	-0.59
0.39	1.58	0.13	-4.38	0.41	0.02	-0.26
1.71	-1.53	-0.59	-0.43	-0.41	-0.97	-0.14
0.1	-0.33	-0.24	0.18	0.01	1.63	-0.74
0.18	1.79	-0.32	0.47	1.49	0.08	0.81
0.1	-0.19	0.06	-0.04	0.42	0.19	-1.63
0.52	-4.29	-3.6	-2.92	-0.29	-0.29	-0.15
0.22	-8.42	7.31	-3.52	-0.88	0.56	-0.52
0.22	5.25	-3.01	4.81	1.19	-0.51	0.83
0.18	0.21	0.29	0.3	-0.37	2.08	-0.72
0.27	1.32	-0.9	-0.72	0.0	0.01	0.12
0.16	2.31	-1.42	-0.36	-0.57	-0.02	-0.0
0.17	0.84	1.43	-0.7	0.52	0.74	-0.98
0.35	-5.13	1.11	-3.87	-0.51	0.34	-0.36
0.7	0.14	-0.24	0.02	0.47	0.85	-0.26
0.8	-4.69	-1.39	-3.43	-0.45	-0.32	-0.12
0.11	-3.62	5.6	-0.15	-0.36	0.13	-0.21
1.12	0.14	-0.24	0.02	-0.45	0.08	0.03
0.3	0.29	-1.12	-5.11	0.01	-0.36	-0.85
0.18	-0.48	-0.33	-0.81	0.07	0.54	0.37
0.54	-1.03	-2.75	-3.79	-0.22	0.07	-0.34
0.16	-2.48	0.43	-2.07	0.28	-0.72	-0.4
0.18	-1.05	1.8	2.1	-0.04	0.08	-0.03
0.64	4.64	1.37	-0.11	-0.02	0.02	-0.19
0.4	1.75	-0.1	1.73	0.12	-0.47	0.07
0.37	-3.39	0.18	-2.66	-0.4	-0.01	-0.69
0.17	-4.22	-2.24	-2.82	-0.31	-0.25	-0.14
0.17	-0.14	0.23	0.28	0.74	2.06	0.32
0.13	-1.29	0.15	0.18	-0.06	0.28	-0.65
0.4	-0.24	-3.15	-0.08	-0.48	0.28	-0.21
0.14	0.29	1.22	1.14	-0.32	0.38	0.4
0.1	-1.86	1.26	-1.1	-0.14	-0.28	-0.24
0.16	-6.52	-10.92	-9.45	-0.84	-1.16	-1.1
3.01	0.64	-0.16	0.13	-0.65	-0.26	0.94
0.49	0.67	-0.18	0.08	-0.71	-0.3	0.67
0.86	-0.3	0.61	0.14	-0.93	0.92	-0.14
2.32	-0.0	0.15	0.09	0.71	0.9	-1.72
0.22	-0.04	0.01	0.44	1.5	-1.45	-0.31
0.18	1.19	-1.22	-1.54	0.03	-0.32	0.22
0.28	-0.21	0.03	0.17	1.88	0.57	-0.71
0.18	0.52	-1.8	-0.34	0.74	-0.58	0.45
0.3	-0.92	3.94	7.91	0.16	0.42	0.63
0.17	0.59	0.03	-0.42	0.58	0.59	0.4
1.17	3.95	2.53	1.62	0.02	0.57	0.08
0.18	-0.01	0.22	-2.27	0.07	0.28	-1.15
0.11	3.92	0.36	5.03	0.16	0.21	0.24
34.38	0.17	0.28	0.28	1.35	2.52	-0.73
5.3	-0.22	-0.25	0.02	-1.18	-0.77	-0.56
0.54	-0.21	0.16	-0.12	0.48	0.49	-1.11
0.58	0.48	1.07	-2.0	-0.53	0.23	-0.5
0.1	-0.63	-2.78	0.31	0.21	-0.55	-0.27
