Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	1.02	0.82	1.77	-0.5	0.08	1.03
0.13	-0.7	0.57	-0.54	0.5	0.47	1.58
0.22	0.83	0.01	1.14	-1.89	0.53	0.3
0.16	0.83	0.01	1.08	-1.42	0.48	-0.23
0.15	0.04	-0.38	-0.17	-0.32	1.12	0.11
0.34	0.93	1.19	1.73	0.03	1.04	-0.19
0.27	-0.38	0.39	0.08	-1.09	0.45	-0.76
0.1	-1.18	1.22	-0.11	0.12	-0.08	0.77
0.27	1.32	0.57	0.71	-0.23	0.63	1.63
0.57	0.12	0.28	0.5	0.47	0.53	-0.12
0.15	0.66	0.75	1.56	-0.84	0.28	0.78
0.11	0.94	0.03	1.09	-1.66	1.42	1.0
0.29	0.93	0.0	1.06	-1.28	0.26	-0.2
0.35	-0.1	-0.1	0.65	0.16	-1.22	1.49
0.15	0.32	-0.31	0.0	-0.54	1.16	0.46
0.14	0.76	0.65	1.46	-0.64	-0.18	0.73
0.47	0.2	-0.26	-0.25	-0.69	0.46	1.15
1.05	0.94	0.03	1.07	-2.02	0.85	0.24
0.25	1.44	0.69	0.8	-0.31	0.44	1.02
0.33	1.49	0.67	0.72	-0.49	0.52	1.21
0.59	-0.09	0.57	0.63	0.07	0.53	0.04
0.39	0.52	-0.66	-0.06	0.08	1.08	-0.38
0.39	1.39	0.49	0.75	0.16	0.36	1.17
1.71	0.46	-0.44	-0.34	0.08	-0.03	1.1
0.1	-1.12	-0.1	-0.34	0.31	1.46	1.67
0.18	-1.09	0.0	-0.33	0.62	2.44	0.89
0.1	0.15	-0.49	-0.28	-0.73	0.07	0.53
0.52	1.26	0.46	0.72	-0.61	0.32	1.13
0.22	0.96	0.06	1.07	-1.83	2.31	0.44
0.22	0.97	-0.11	1.06	-0.72	2.02	1.6
0.18	-0.1	0.38	0.61	0.21	-0.09	-0.07
0.27	-1.25	0.88	-0.07	1.17	-0.78	0.37
0.16	0.21	-0.0	-0.81	-0.51	-0.35	1.34
0.17	0.99	0.01	1.04	1.46	0.8	-0.4
0.35	0.62	0.84	2.14	0.08	0.31	0.14
0.7	0.99	-0.14	1.07	0.06	1.65	1.26
0.8	1.27	0.47	0.73	-0.72	0.28	0.47
0.11	1.0	0.08	1.07	-0.37	2.74	0.57
1.12	1.0	-0.14	1.07	-0.32	1.6	1.61
0.3	-0.01	-0.43	-0.15	-0.26	0.71	0.54
0.18	-1.01	-0.12	-0.34	0.1	-0.14	2.06
0.54	1.03	-0.15	1.06	-0.46	1.45	1.73
0.16	1.34	-0.25	1.05	0.13	0.81	1.35
0.18	-0.96	-0.1	-0.4	0.47	-0.0	2.1
0.64	-1.04	0.67	-0.37	0.7	-0.41	0.04
0.4	0.21	-0.51	-0.1	1.02	0.62	0.26
0.37	-0.17	0.33	0.37	-0.44	0.97	0.19
0.17	1.08	0.55	0.77	-0.28	0.32	1.45
0.17	0.78	0.36	1.1	0.11	1.0	0.09
0.13	-0.24	0.17	0.19	-0.79	1.21	0.54
0.4	-1.15	0.08	-0.21	-0.51	1.18	1.65
0.14	0.44	-0.59	-0.14	0.05	0.96	0.05
0.1	0.8	0.54	1.62	-0.75	-0.1	0.79
0.16	0.04	-0.36	0.03	0.03	0.5	0.73
3.01	0.18	-0.12	-0.78	-0.15	0.01	1.41
0.49	0.18	-0.11	-0.8	-0.49	0.3	0.6
0.86	0.16	-0.49	-0.35	-0.12	0.79	0.7
2.32	-1.25	0.89	-0.09	0.66	-0.18	0.02
0.22	-0.34	-0.31	0.4	0.16	-1.29	0.12
0.18	0.2	0.0	-0.81	-0.39	-0.3	1.62
0.28	-0.17	0.24	-0.2	-0.64	-0.12	-2.54
0.18	0.35	-0.63	-0.35	0.08	-0.27	0.85
0.3	-0.14	-0.41	-0.88	-1.67	-0.24	1.58
0.17	-1.04	0.05	-0.45	1.48	-0.83	1.53
1.17	-0.17	0.36	0.38	-0.29	0.68	0.1
0.18	0.12	-0.68	-0.03	-0.49	0.82	1.03
0.11	-1.24	0.93	-0.41	0.86	-0.01	-0.17
34.38	-1.06	0.01	-0.39	0.08	0.5	1.13
5.3	-1.08	0.03	-0.41	1.75	0.82	3.33
0.54	0.39	0.73	1.74	-1.14	0.01	-0.28
0.58	1.11	0.22	1.05	-0.61	1.27	-0.63
0.1	-0.25	0.33	0.45	-0.09	0.98	0.36
0.17	-1.1	-0.13	-0.42	0.13	0.0	1.47
0.24	1.48	0.57	0.87	-0.55	0.33	0.97
0.41	1.26	0.39	0.72	-1.0	0.18	1.35
