Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	0.19	0.31	2.22	-0.5	-0.47	-0.36
0.13	0.62	-0.25	0.52	1.62	0.1	-0.72
0.22	-0.51	0.41	-0.16	0.42	-0.69	-1.09
0.16	-0.3	-0.07	-0.12	-0.35	-1.5	-0.14
0.15	-0.49	-0.26	-1.3	0.18	-0.08	-0.2
0.34	0.8	2.11	1.01	-0.2	0.15	-0.6
0.27	-1.63	-0.54	-0.47	-0.15	-0.77	-0.12
0.1	0.39	-0.18	0.65	2.24	-0.63	-0.2
0.27	-0.12	0.16	1.97	-0.89	-0.66	-0.2
0.57	0.09	-0.39	0.18	-0.99	-0.03	-0.31
0.15	-0.13	0.46	1.7	-0.2	-0.46	-0.65
0.11	-0.4	0.47	-0.09	0.03	-1.23	-0.73
0.29	0.38	0.24	0.56	-1.21	-0.08	-1.4
0.35	0.51	-1.37	2.04	0.41	-0.41	0.43
0.15	0.36	0.26	0.68	0.98	0.37	-0.57
0.14	0.36	0.04	1.16	-0.43	-0.18	-1.54
0.47	0.83	0.46	0.65	1.53	-0.47	0.66
1.05	-0.35	0.26	-0.03	0.17	-1.11	-0.21
0.25	-0.34	0.09	1.65	-1.05	-0.81	-0.38
0.33	-0.25	-0.01	1.78	-1.1	-0.71	-0.26
0.59	0.38	-0.08	0.75	0.97	0.22	0.62
0.39	0.25	0.32	0.92	0.32	0.24	0.56
0.39	-0.08	0.19	1.72	-1.22	-0.45	-0.39
1.71	-0.31	0.36	0.03	-0.23	-0.13	-0.67
0.1	0.74	0.1	0.2	1.14	-0.82	-0.03
0.18	0.72	0.31	0.79	0.64	1.0	0.6
0.1	0.32	0.33	0.62	0.36	0.78	2.8
0.52	0.27	0.1	0.82	-0.2	0.17	-1.62
0.22	-1.36	2.45	0.44	-1.23	1.0	-0.57
0.22	0.41	1.75	1.53	-0.4	0.42	-0.21
0.18	-0.58	-0.72	-0.91	-1.55	0.17	-0.52
0.27	0.2	0.02	0.4	1.71	-0.93	1.03
0.16	-0.28	0.07	1.09	0.81	0.51	0.11
0.17	-0.18	0.21	0.36	-0.95	-0.17	-1.27
0.35	0.74	0.76	1.37	-0.13	-0.5	-1.17
0.7	0.12	1.07	1.39	-0.67	-0.07	-0.43
0.8	0.28	-0.03	1.32	-0.01	-0.17	-1.13
0.11	-0.04	2.56	1.22	-0.66	0.98	-0.08
1.12	0.12	1.08	1.39	-0.2	-0.14	-0.71
0.3	0.19	-0.19	0.3	0.51	-0.54	0.92
0.18	0.9	-0.11	0.36	0.86	-1.09	0.9
0.54	0.24	1.26	1.14	-0.59	-0.21	-0.55
0.16	0.21	1.41	1.97	-0.96	0.75	-0.13
0.18	0.97	-0.22	0.81	0.85	0.16	0.8
0.64	1.17	0.12	1.29	1.71	0.53	0.36
0.4	-0.06	0.65	0.1	0.59	-0.06	-0.52
0.37	0.83	-0.1	0.71	1.82	-0.11	0.44
0.17	0.18	-0.02	1.31	-0.41	-0.01	-0.93
0.17	0.55	-0.02	0.61	0.33	-0.83	-0.79
0.13	-0.28	-0.01	0.11	1.23	-0.94	0.15
0.4	0.43	0.93	0.7	1.67	-0.69	0.23
0.14	0.06	-0.06	0.39	0.29	-1.12	0.06
0.1	0.35	0.07	0.51	-0.29	0.1	-1.94
0.16	-0.25	-1.93	-1.13	-0.95	-1.63	-1.37
3.01	-0.11	0.18	0.93	0.91	0.82	-0.13
0.49	-0.13	0.19	0.92	1.26	0.65	0.78
0.86	-0.1	0.37	0.71	0.01	-0.31	0.48
2.32	0.89	0.15	0.95	1.48	0.78	0.02
0.22	0.26	-0.41	-0.53	-0.32	1.33	-0.56
0.18	0.17	0.67	0.73	0.51	1.12	-0.27
0.28	-0.25	-0.35	-0.13	-1.13	0.56	-0.95
0.18	0.45	0.16	0.12	1.13	-0.73	0.29
0.3	-1.52	0.28	1.79	-0.24	0.65	1.35
0.17	0.73	0.31	1.08	0.59	0.51	0.6
1.17	0.84	-0.24	0.6	1.91	-0.27	0.44
0.18	0.63	0.42	1.26	1.08	0.5	1.14
0.11	0.76	-0.54	0.78	1.15	-0.64	1.46
34.38	0.72	0.15	0.49	1.23	-0.24	0.55
5.3	0.66	0.17	0.46	0.44	0.28	0.45
0.54	-0.57	0.13	0.14	0.51	-0.75	-1.59
0.58	-0.34	-0.44	-0.01	0.41	-1.38	-0.84
0.1	0.79	-0.27	0.9	1.42	-0.32	0.69
0.17	1.14	-0.67	0.94	1.68	-1.24	0.71
0.24	-0.57	0.24	1.29	-1.02	-0.43	-0.76
