Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	-0.01	-0.61	-3.77	0.08	-0.13	-0.79
0.13	-0.66	0.71	-1.36	0.05	0.43	-0.89
0.22	0.64	-0.69	1.35	0.21	-0.67	0.12
0.16	0.23	1.25	1.7	-0.81	-0.0	-0.41
0.15	-0.95	1.98	1.82	0.4	0.26	0.03
0.34	-0.21	-1.63	1.41	0.22	-0.21	0.81
0.27	0.27	1.27	1.02	-0.79	0.86	0.79
0.1	4.32	1.56	0.68	0.26	0.27	0.14
0.27	0.08	0.1	-2.45	0.72	0.44	-0.49
0.57	0.9	2.08	1.52	0.33	-0.46	0.14
0.15	-1.15	-1.01	-3.98	-0.34	-0.26	-0.54
0.11	-0.15	-0.22	0.12	1.33	-0.22	-0.58
0.29	-0.84	0.44	1.16	0.04	-0.3	-0.4
0.35	1.4	-0.71	1.29	-0.29	0.66	-0.72
0.15	-0.13	-1.04	-0.34	0.43	-0.19	0.13
0.14	-3.22	-1.36	-1.91	-0.3	-0.14	-0.05
0.47	-1.7	-4.93	1.66	-0.79	-2.01	0.42
1.05	0.04	-0.54	6.23	0.15	0.08	0.96
0.25	0.39	-0.03	-2.67	0.65	0.42	-0.34
0.33	-0.09	-0.16	-2.62	0.71	0.41	-0.51
0.59	-1.34	-1.96	0.67	-0.34	-0.78	-0.04
0.39	1.26	0.86	1.28	-0.82	-0.1	-0.23
0.39	0.55	0.04	-3.48	0.51	0.06	-0.57
1.71	0.98	0.49	0.79	-0.78	0.63	-0.83
0.1	0.24	0.12	0.25	-0.04	-1.7	-1.01
0.18	-0.67	1.18	0.98	-0.17	-0.48	-0.92
0.1	0.15	-0.09	0.16	0.18	1.83	0.81
0.52	-3.53	-2.84	-2.48	-0.4	-0.4	-0.26
0.22	-6.4	6.0	-2.32	-0.92	0.6	-0.54
0.22	2.47	-1.78	2.84	1.31	-0.6	0.95
0.18	-0.93	0.97	-0.64	0.87	-0.23	0.48
0.27	0.26	-0.16	-0.19	1.13	-0.67	-1.1
0.16	3.03	-1.11	-0.27	-0.07	-0.24	-0.08
0.17	-0.41	-1.26	1.18	0.26	0.73	-0.03
0.35	-3.83	0.29	-2.94	-0.67	0.39	-0.49
0.7	0.12	-0.05	0.14	-0.07	2.42	0.55
0.8	-3.58	-0.86	-2.95	-0.59	-0.41	-0.25
0.11	-2.72	5.17	0.33	-0.44	0.26	-0.21
1.12	0.12	-0.05	0.14	-0.67	1.76	0.53
0.3	0.16	-0.27	-2.84	0.12	-0.39	-1.21
0.18	0.19	0.24	0.55	0.83	-1.93	-1.21
0.54	-0.58	-2.59	-2.81	-0.2	-0.17	-0.54
0.16	-2.62	1.72	-0.83	-0.14	-0.42	-0.64
0.18	-0.52	0.96	1.35	-0.49	0.76	0.75
0.64	4.4	1.26	0.34	0.23	0.08	-0.21
0.4	0.65	0.8	0.72	1.14	-0.06	0.94
0.37	-1.96	0.27	-0.89	-0.95	-0.07	-0.85
0.17	-3.32	-1.56	-2.39	-0.55	-0.38	-0.25
0.17	0.73	-0.76	-0.63	0.1	-0.43	-0.13
0.13	0.21	-0.07	-0.12	0.75	0.04	0.42
0.4	0.81	-3.2	0.37	-0.43	-0.22	-0.19
0.14	-0.69	-0.64	0.24	0.37	0.1	0.18
0.1	-0.94	1.28	-0.21	-0.75	0.38	-0.58
0.16	-4.63	-8.28	-6.96	-0.85	-1.19	-1.12
3.01	-0.5	0.15	0.18	0.4	0.84	-1.99
0.49	-0.5	0.13	0.11	0.3	0.58	-1.82
0.86	-0.04	-0.0	0.44	-1.81	2.0	-1.88
2.32	-0.04	0.17	0.57	-0.87	-0.64	-1.31
0.22	0.53	0.0	-0.2	0.09	0.59	-1.16
0.18	0.66	-0.13	-1.23	0.43	-0.62	-0.62
0.28	0.08	0.1	0.51	0.45	2.04	1.62
0.18	-0.78	0.82	-0.1	-0.13	-1.16	-0.96
0.3	-1.27	2.95	6.4	0.15	0.46	0.72
0.17	0.55	0.24	0.47	-0.73	0.8	0.94
1.17	3.84	1.69	1.5	-0.15	0.54	0.18
0.18	1.48	0.14	0.25	-0.99	-0.37	-0.63
0.11	3.43	-0.13	4.34	0.28	0.21	0.39
34.38	0.09	0.07	0.4	0.79	0.33	-1.39
5.3	0.06	0.02	0.49	-0.64	-1.51	1.47
0.54	-0.36	0.33	0.48	-0.09	1.53	0.74
0.58	1.11	0.06	0.02	0.3	0.64	-1.38
0.1	-0.7	-0.55	0.58	-0.47	-1.64	0.22
