Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	0.11	-0.84	-4.93	0.06	-0.11	-0.5
0.13	-0.54	1.27	-2.03	0.13	0.14	-0.07
0.22	0.46	-1.09	0.71	-0.38	0.27	-0.72
0.16	-0.81	0.26	0.17	0.17	-1.12	-1.14
0.15	-0.05	2.01	1.56	0.54	-0.27	-0.33
0.34	0.24	-1.51	2.42	0.24	0.26	0.31
0.27	-1.08	1.99	1.92	-0.62	0.08	0.28
0.1	4.61	1.98	0.94	0.06	0.19	0.14
0.27	1.32	0.8	-2.95	0.62	0.31	-0.09
0.57	1.17	0.74	1.38	-0.12	-0.98	-0.32
0.15	-1.72	-1.44	-4.76	-0.28	-0.21	-0.33
0.11	-0.16	1.11	0.95	-0.39	0.36	-0.15
0.29	0.62	-0.05	-0.25	0.36	0.24	-0.34
0.35	-0.71	0.71	0.0	-1.63	0.22	-0.09
0.15	0.05	0.52	0.27	-0.49	1.09	-0.93
0.14	-3.55	-1.52	-1.91	-0.07	-0.04	0.05
0.47	-3.12	-8.54	2.39	-0.75	-1.92	0.39
1.05	0.31	-0.39	7.89	0.14	0.09	0.85
0.25	1.46	0.67	-2.93	0.49	0.35	0.04
0.33	1.16	0.54	-3.15	0.64	0.36	-0.1
0.59	-1.7	-2.98	0.49	-0.08	-0.36	-0.15
0.39	-0.48	-0.9	-0.22	-0.13	-1.39	-0.77
0.39	1.41	0.12	-4.27	0.43	0.03	-0.31
1.71	-1.3	-0.19	-0.35	-0.69	-1.01	-0.24
0.1	-0.15	-0.67	0.42	-0.64	0.68	-0.38
0.18	1.13	-0.34	0.13	1.75	0.01	0.83
0.1	0.09	0.05	0.59	-1.29	-0.32	-0.57
0.52	-4.17	-3.48	-2.86	-0.3	-0.3	-0.16
0.22	-8.06	7.07	-3.3	-0.89	0.57	-0.53
0.22	4.77	-2.8	4.47	1.2	-0.52	0.84
0.18	-0.0	0.19	0.2	-0.44	-2.1	-2.35
0.27	1.29	-0.88	-0.75	0.16	-0.11	0.01
0.16	2.53	-1.41	-0.36	-0.47	-0.07	-0.02
0.17	0.61	1.09	-0.27	0.65	0.95	-1.11
0.35	-4.92	0.97	-3.72	-0.53	0.35	-0.38
0.7	-0.06	-0.12	0.2	1.41	-1.24	-1.04
0.8	-4.52	-1.3	-3.36	-0.5	-0.3	-0.14
0.11	-3.47	5.55	-0.07	-0.37	0.15	-0.21
1.12	-0.06	-0.12	0.2	2.59	-0.4	-1.38
0.3	0.29	-0.98	-4.76	0.02	-0.37	-0.9
0.18	-0.48	-0.52	-0.89	-0.08	0.38	0.04
0.54	-0.94	-2.76	-3.64	-0.2	-0.01	-0.38
0.16	-2.58	0.72	-1.89	0.2	-0.68	-0.48
0.18	-1.02	1.75	2.07	-0.11	0.19	0.13
0.64	4.64	1.36	-0.04	0.02	0.03	-0.2
0.4	1.69	0.1	1.67	0.17	-0.5	0.21
0.37	-3.21	0.19	-2.37	-0.44	-0.01	-0.73
0.17	-4.09	-2.14	-2.76	-0.34	-0.27	-0.16
0.17	0.09	-0.51	0.09	-0.88	1.0	0.84
0.13	-1.19	0.02	0.44	-0.44	0.31	-0.61
0.4	-0.04	-3.24	0.0	-0.48	0.18	-0.21
0.14	0.41	1.02	0.94	-0.22	0.62	0.58
0.1	-1.79	1.36	-0.99	-0.23	-0.2	-0.29
0.16	-6.18	-10.44	-9.0	-0.84	-1.17	-1.1
3.01	0.78	-0.01	-0.21	-0.03	-0.39	0.77
0.49	0.81	-0.03	-0.25	-0.07	-0.47	0.42
0.86	0.11	0.06	0.43	0.3	0.2	-1.34
2.32	-0.24	-0.04	0.67	0.36	0.07	-0.63
0.22	-0.28	0.4	-0.13	-0.28	-0.41	1.39
0.18	1.16	-1.08	-1.61	0.11	-0.38	0.11
0.28	-0.51	-0.16	0.43	0.07	0.31	-0.39
0.18	0.21	-1.52	-0.51	0.8	-0.8	0.36
0.3	-0.99	3.77	7.65	0.16	0.42	0.64
0.17	0.28	-0.2	-0.49	0.94	0.48	-0.11
1.17	3.96	2.39	1.58	0.09	0.43	0.02
0.18	-0.04	0.1	-1.77	0.08	0.31	-1.32
0.11	3.85	0.27	4.93	0.18	0.21	0.26
34.38	-0.04	0.04	0.21	0.36	1.45	2.79
5.3	0.05	0.2	0.3	-0.5	-0.71	1.58
0.54	-0.12	-0.18	0.38	-1.23	0.48	-0.62
0.58	0.69	0.96	-1.77	-0.49	0.3	-0.62
0.1	-0.71	-2.53	0.42	0.18	-0.67	-0.24
