Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	-0.27	-0.25	1.15	-0.17	-0.32	-1.39
0.13	1.55	0.54	0.27	0.11	0.28	0.44
0.22	0.01	-0.84	-0.47	-0.41	-0.78	0.32
0.16	1.09	-0.48	0.32	0.82	0.34	0.7
0.15	-0.27	-0.51	-0.42	-0.27	-0.41	2.55
0.34	0.48	1.92	0.23	-0.33	-0.47	-0.63
0.27	-1.37	-1.31	-0.59	0.52	-0.39	-0.05
0.1	2.34	0.12	0.38	1.05	0.51	-0.06
0.27	-1.06	-0.57	1.21	-0.55	-0.43	-0.95
0.57	-0.52	1.25	0.14	0.17	1.19	0.4
0.15	0.04	-0.07	-0.03	0.24	0.07	-2.09
0.11	-0.05	-0.79	0.28	0.05	-0.06	0.56
0.29	-0.57	-0.58	-0.4	0.67	-0.06	-1.11
0.35	0.98	-1.67	2.35	0.34	-0.1	0.1
0.15	0.6	-0.01	0.29	-0.27	-0.4	0.35
0.14	-0.69	-0.18	-0.92	-1.35	-0.55	-0.88
0.47	1.47	-0.44	0.92	-0.21	-0.38	-0.08
1.05	-0.4	-0.63	1.79	-0.01	-0.14	1.68
0.25	-1.18	-0.72	0.69	-0.34	-0.46	-1.09
0.33	-1.25	-0.69	0.96	-0.52	-0.39	-0.98
0.59	0.9	0.02	0.94	-1.06	0.72	0.4
0.39	1.22	0.05	0.82	1.17	0.35	0.27
0.39	-1.12	-0.27	0.51	-0.34	-0.23	-1.44
1.71	0.13	-0.69	0.57	0.57	-0.74	0.83
0.1	1.0	-0.12	1.19	-0.63	0.64	0.86
0.18	0.84	0.16	0.9	-0.73	-0.42	3.8
0.1	-0.6	0.97	1.27	-0.44	0.18	-0.01
0.52	-1.2	-0.62	-0.97	-1.11	-0.99	-0.74
0.22	-2.77	3.53	-0.27	-1.09	0.79	-0.58
0.22	-0.09	1.88	1.08	-0.42	-0.23	-0.49
0.18	-1.86	-0.14	-1.16	-0.61	0.67	-0.05
0.27	1.01	0.46	0.82	-0.98	0.58	-0.02
0.16	1.41	0.35	0.39	1.28	-0.47	-0.42
0.17	-0.33	-0.48	-0.47	0.34	-1.83	0.78
0.35	0.07	-0.54	-0.22	-1.23	-1.05	-1.03
0.7	-0.19	0.06	0.34	2.28	-1.23	-0.93
0.8	-0.3	0.18	-0.7	-1.26	0.4	-1.5
0.11	-0.81	3.56	1.06	-0.6	0.68	-0.17
1.12	-0.19	0.06	0.34	-1.31	-2.03	1.5
0.3	1.05	0.33	0.89	0.85	-0.23	-0.47
0.18	1.04	-0.32	1.33	-0.36	0.55	0.34
0.54	-0.27	0.05	0.14	0.6	-1.81	-0.88
0.16	-0.89	2.07	1.55	-0.82	0.33	-0.51
0.18	0.79	0.4	0.84	-1.41	-0.26	-0.52
0.64	2.57	0.68	1.27	0.76	0.33	-0.22
0.4	0.01	-0.51	0.27	-0.69	-0.95	0.38
0.37	1.87	0.17	0.82	0.15	0.31	0.06
0.17	-0.2	0.03	-0.74	-1.1	-0.46	-1.36
0.17	0.51	0.07	0.18	-0.6	0.41	0.21
0.13	0.59	-0.36	0.3	0.12	0.4	0.33
0.4	1.61	-0.73	0.82	0.23	-1.28	0.0
0.14	-0.04	0.26	0.21	-0.91	1.44	0.33
0.1	-0.56	-0.07	-0.37	-0.96	-0.77	0.15
0.16	-1.4	-3.71	-2.7	-0.92	-1.34	-1.22
3.01	1.42	-0.02	0.71	0.61	-1.03	0.22
0.49	1.41	-0.01	0.68	0.28	-0.84	0.22
0.86	1.17	0.02	0.65	1.18	0.3	0.3
2.32	1.51	0.44	0.21	-0.29	0.21	-0.15
0.22	-0.53	0.88	-0.25	-0.66	0.52	0.77
0.18	0.65	0.67	0.21	0.17	-0.73	-0.23
0.28	-0.05	0.35	0.34	0.98	-1.44	-0.4
0.18	1.12	0.27	1.48	-0.16	0.93	0.68
0.3	-1.63	1.04	3.24	0.0	0.59	1.06
0.17	0.74	0.02	0.83	-1.71	-0.52	0.13
1.17	2.34	0.2	1.05	0.95	0.43	0.23
0.18	1.66	0.74	1.81	0.6	0.09	0.02
0.11	1.83	-0.75	2.18	0.67	0.05	0.9
34.38	0.84	0.19	0.89	-0.07	0.28	-0.18
5.3	0.86	0.19	0.9	-0.0	-0.56	2.2
0.54	0.41	-0.95	-0.88	0.3	-0.67	-0.3
0.58	0.04	-0.78	-1.16	-0.27	0.47	-0.48
0.1	1.84	0.05	1.11	0.37	0.54	-0.2
0.17	2.9	-1.86	1.64	1.29	-0.83	0.49
