Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	-0.22	-0.17	1.42	-0.26	-0.4	-1.23
0.13	1.5	0.42	0.19	0.3	0.74	0.19
0.22	0.06	-0.65	-0.53	-0.06	-1.08	0.2
0.16	0.91	-0.54	0.18	0.96	0.2	0.62
0.15	-0.29	-0.42	-0.8	0.22	-0.38	1.38
0.34	0.54	2.0	0.36	-0.31	-0.36	-0.65
0.27	-1.47	-1.22	-0.58	0.43	-0.48	-0.07
0.1	2.11	0.02	0.4	1.17	0.51	-0.11
0.27	-0.93	-0.48	1.4	-0.64	-0.49	-0.85
0.57	-0.54	0.99	0.06	0.1	1.36	0.37
0.15	-0.02	-0.06	0.4	0.34	-0.26	-2.01
0.11	-0.07	-0.76	0.15	0.11	-0.31	0.68
0.29	-0.6	-0.49	-0.25	-0.36	-0.74	-0.24
0.35	0.91	-1.65	2.32	0.36	-0.14	0.14
0.15	0.64	0.08	0.24	-0.14	-0.49	0.16
0.14	-0.4	-0.08	-0.71	-1.41	-0.42	-1.18
0.47	1.49	-0.34	0.93	-0.02	-0.53	-0.02
1.05	-0.39	-0.59	1.44	-0.07	-0.21	1.79
0.25	-1.1	-0.62	0.9	-0.45	-0.54	-1.01
0.33	-1.13	-0.6	1.15	-0.62	-0.44	-0.9
0.59	1.07	-0.05	0.83	-0.56	0.13	0.67
0.39	0.93	-0.01	0.77	1.69	0.15	0.12
0.39	-1.03	-0.22	0.8	-0.52	-0.3	-1.33
1.71	0.02	-0.52	0.39	0.57	-0.95	0.92
0.1	1.09	-0.25	0.98	-0.36	0.54	1.04
0.18	0.91	0.46	0.86	-0.2	-0.89	-0.13
0.1	-0.5	0.93	1.26	-0.54	0.24	0.11
0.52	-0.96	-0.41	-0.81	-1.29	-1.08	-0.86
0.22	-2.54	3.36	-0.15	-1.1	0.81	-0.58
0.22	-0.0	1.91	1.18	-0.41	-0.1	-0.45
0.18	-1.73	-0.27	-1.14	-0.74	0.65	-0.08
0.27	1.17	0.31	0.83	-0.6	0.85	-0.12
0.16	1.13	0.43	0.48	1.48	-0.36	-0.57
0.17	-0.42	-0.2	-0.5	0.43	-0.97	-0.14
0.35	0.29	-0.31	-0.01	-0.92	-1.19	-1.07
0.7	-0.14	0.46	0.38	-0.67	-1.5	-1.14
0.8	-0.06	0.14	-0.38	-1.14	0.33	-1.64
0.11	-0.69	3.42	1.1	-0.61	0.72	-0.16
1.12	-0.14	0.46	0.38	0.12	-1.21	-1.47
0.3	0.82	0.3	0.97	1.29	0.6	-0.19
0.18	1.1	-0.41	1.24	-0.23	0.35	0.57
0.54	-0.33	0.42	0.34	-0.31	-1.63	-1.0
0.16	-0.72	1.99	1.65	-0.85	0.39	-0.47
0.18	1.06	0.37	0.95	-1.12	0.5	-0.59
0.64	2.4	0.61	1.31	0.86	0.37	-0.18
0.4	0.14	-0.29	0.18	-0.53	-1.15	0.53
0.37	1.82	0.11	0.81	0.31	0.32	0.06
0.17	-0.0	0.11	-0.43	-0.86	-0.34	-1.64
0.17	0.62	-0.01	0.15	-0.4	0.36	0.03
0.13	0.55	-0.42	0.24	0.26	0.23	0.25
0.4	1.55	-0.46	0.81	0.37	-1.41	0.03
0.14	0.1	0.02	0.23	-0.44	1.01	-0.34
0.1	-0.36	0.06	-0.39	-1.07	-0.51	0.04
0.16	-1.21	-3.44	-2.45	-0.92	-1.37	-1.24
3.01	1.26	0.19	0.66	0.7	-0.87	0.18
0.49	1.26	0.19	0.67	2.5	-1.95	-0.21
0.86	0.88	-0.05	0.6	1.58	-0.04	0.06
2.32	1.54	0.44	0.31	-0.07	0.01	-0.5
0.22	-0.39	0.75	-0.4	-0.71	0.72	0.68
0.18	0.6	0.79	0.27	0.26	-0.53	-0.33
0.28	-0.21	0.28	0.33	0.5	-0.46	-0.21
0.18	1.14	0.08	1.31	0.01	0.91	0.97
0.3	-1.63	0.92	3.02	-0.02	0.6	1.1
0.17	0.98	0.27	0.89	-0.18	-1.28	-0.57
1.17	2.15	0.1	0.99	1.04	0.44	0.3
0.18	1.53	0.72	1.8	0.68	0.14	0.12
0.11	1.69	-0.76	1.99	0.72	0.01	0.96
34.38	0.85	0.13	0.86	0.06	0.26	0.25
5.3	0.85	0.12	0.9	-0.44	0.42	-0.22
0.54	0.33	-0.8	-0.81	0.46	-0.79	-0.41
0.58	0.08	-0.86	-1.03	-0.11	0.29	-0.75
0.1	1.75	-0.06	1.14	0.51	0.51	-0.11
0.17	2.63	-1.69	1.54	1.32	-0.86	0.51
