Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	0.14	0.27	2.18	-0.49	-0.48	-0.43
0.13	0.78	-0.23	0.45	1.53	0.35	-0.73
0.22	-0.46	0.34	-0.27	0.53	-0.8	-0.96
0.16	-0.32	-0.24	-0.13	0.3	-2.15	-0.28
0.15	-0.47	-0.26	-1.31	0.19	-0.07	-0.05
0.34	0.78	2.12	0.94	-0.21	0.1	-0.61
0.27	-1.64	-0.62	-0.48	-0.07	-0.76	-0.12
0.1	0.62	-0.23	0.62	2.22	-0.38	-0.26
0.27	-0.21	0.09	1.95	-0.87	-0.67	-0.29
0.57	-0.02	-0.39	0.14	-1.07	0.11	-0.44
0.15	-0.15	0.41	1.63	-0.16	-0.49	-0.76
0.11	-0.39	0.34	-0.16	0.16	-1.36	-0.62
0.29	0.23	0.26	0.46	-1.77	0.43	-0.11
0.35	0.56	-1.41	2.08	0.41	-0.38	0.4
0.15	0.44	0.3	0.61	0.6	0.39	-0.84
0.14	0.32	0.03	0.99	-0.43	-0.11	-1.78
0.47	0.97	0.4	0.72	1.29	-0.77	0.58
1.05	-0.33	0.15	-0.05	0.29	-1.15	-0.12
0.25	-0.44	0.0	1.6	-0.99	-0.8	-0.47
0.33	-0.36	-0.08	1.75	-1.05	-0.69	-0.35
0.59	0.48	-0.05	0.8	0.98	0.46	0.46
0.39	0.27	0.33	0.96	0.03	-0.27	0.33
0.39	-0.2	0.15	1.67	-1.18	-0.45	-0.5
1.71	-0.33	0.34	-0.03	-0.1	-0.24	-0.6
0.1	0.85	0.02	0.21	0.96	-0.79	0.24
0.18	0.78	0.4	0.84	0.54	0.83	0.42
0.1	0.21	0.45	0.77	-1.12	1.13	1.23
0.52	0.25	0.12	0.65	-0.17	0.37	-1.84
0.22	-1.48	2.55	0.39	-1.21	0.97	-0.58
0.22	0.37	1.79	1.51	-0.4	0.37	-0.24
0.18	-0.73	-0.7	-0.96	-1.43	0.24	-0.39
0.27	0.38	-0.06	0.51	1.78	-0.73	1.05
0.16	-0.19	0.13	1.09	0.95	0.56	-0.05
0.17	-0.27	0.19	0.23	-0.71	-0.23	-1.25
0.35	0.73	0.71	1.25	-0.19	-0.58	-1.28
0.7	0.08	1.06	1.32	-0.81	-0.33	-0.49
0.8	0.27	-0.05	1.21	-0.18	0.04	-1.38
0.11	-0.11	2.66	1.22	-0.65	0.95	-0.09
1.12	0.09	1.06	1.32	-0.07	-0.11	-0.81
0.3	0.24	-0.24	0.39	0.54	-0.36	0.92
0.18	0.97	-0.22	0.46	0.65	-0.91	0.98
0.54	0.18	1.23	1.08	-0.58	-0.32	-0.6
0.16	0.12	1.49	1.96	-0.96	0.71	-0.18
0.18	1.05	-0.2	0.88	0.71	0.29	0.7
0.64	1.34	0.17	1.32	1.58	0.55	0.26
0.4	-0.0	0.63	0.05	0.59	-0.3	-0.38
0.37	1.01	-0.1	0.75	1.62	0.07	0.32
0.17	0.14	-0.02	1.21	-0.32	0.08	-1.14
0.17	0.59	-0.09	0.53	0.35	-0.52	-0.85
0.13	-0.15	-0.11	0.13	1.33	-0.95	0.12
0.4	0.6	0.85	0.72	1.59	-0.89	0.21
0.14	0.09	-0.16	0.39	0.3	-0.91	0.04
0.1	0.33	0.09	0.32	-0.24	0.23	-1.79
0.16	-0.35	-2.09	-1.27	-0.95	-1.59	-1.35
3.01	-0.01	0.27	0.92	1.18	0.84	-0.25
0.49	-0.02	0.27	0.89	1.01	0.85	-0.02
0.86	-0.08	0.33	0.75	0.33	-0.46	0.39
2.32	1.04	0.2	0.9	1.29	0.75	-0.26
0.22	0.23	-0.28	-0.58	-0.45	1.34	-0.41
0.18	0.23	0.77	0.68	0.6	0.87	-0.52
0.28	-0.28	-0.27	-0.15	2.45	-0.18	-2.58
0.18	0.56	0.08	0.17	1.06	-0.76	0.59
0.3	-1.54	0.34	1.92	-0.2	0.65	1.32
0.17	0.78	0.36	1.13	0.54	0.43	0.39
1.17	1.02	-0.27	0.65	1.6	-0.21	0.51
0.18	0.74	0.47	1.36	1.03	0.44	0.97
0.11	0.88	-0.6	0.93	1.09	-0.49	1.4
34.38	0.79	0.14	0.53	0.57	-0.24	0.49
5.3	0.73	0.15	0.49	-0.01	0.14	0.24
0.54	-0.51	0.05	-0.02	0.69	-0.77	-1.58
0.58	-0.29	-0.56	-0.11	0.68	-1.09	-1.06
0.1	0.93	-0.29	0.97	1.29	-0.16	0.58
0.17	1.31	-0.79	1.01	1.61	-1.16	0.67
