Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	1.12	0.75	1.54	-0.36	0.57	1.18
0.13	-0.8	0.44	-0.85	0.46	0.79	1.38
0.22	1.16	-0.16	0.93	-0.45	1.2	1.37
0.16	1.14	-0.15	0.96	-0.52	1.28	1.58
0.15	0.12	-0.59	-0.23	-0.65	0.89	0.45
0.34	0.92	0.96	1.75	0.05	1.26	-0.05
0.27	-0.14	0.23	0.19	-1.29	1.25	-0.2
0.1	-1.2	1.21	-0.27	0.08	0.21	0.82
0.27	1.32	0.42	0.38	0.13	0.81	1.52
0.57	0.02	0.15	0.51	0.48	0.73	0.12
0.15	0.84	0.65	1.36	-0.58	0.96	1.31
0.11	1.16	-0.25	0.84	-0.12	1.13	0.59
0.29	1.14	-0.21	0.86	-0.17	1.41	1.17
0.35	-0.12	0.15	0.3	0.28	-1.25	2.3
0.15	0.41	-0.54	-0.11	-0.32	1.11	0.61
0.14	0.86	0.63	1.28	-0.02	0.57	0.94
0.47	0.32	-0.37	-0.47	-0.49	0.65	1.05
1.05	1.15	-0.23	0.84	-0.11	1.16	1.12
0.25	1.48	0.58	0.6	-0.11	0.64	1.02
0.33	1.57	0.55	0.47	-0.26	0.69	1.16
0.59	-0.11	0.43	0.6	0.06	0.83	0.18
0.39	0.53	-0.75	-0.23	-0.4	0.54	1.51
0.39	1.32	0.38	0.51	0.35	0.74	1.29
1.71	0.4	-0.45	-0.56	0.49	0.12	0.99
0.1	-1.11	-0.21	-0.7	-0.25	-0.57	1.46
0.18	-1.09	-0.18	-0.7	-0.01	-0.71	1.46
0.1	0.31	-0.54	-0.42	-0.66	0.47	0.91
0.52	1.38	0.4	0.53	-0.46	0.34	0.81
0.22	1.12	-0.29	0.76	-0.2	1.24	1.43
0.22	1.07	-0.35	0.76	-0.96	0.94	1.4
0.18	-0.13	0.38	0.6	0.11	0.06	0.19
0.27	-1.26	0.84	-0.26	0.08	0.35	1.27
0.16	0.3	0.03	-1.07	-0.35	0.04	1.3
0.17	0.97	-0.17	0.97	-1.04	0.61	0.49
0.35	0.61	0.77	2.09	0.03	0.4	0.33
0.7	1.08	-0.38	0.76	-0.2	1.19	1.55
0.8	1.39	0.39	0.61	-0.47	0.46	0.73
0.11	1.1	-0.26	0.74	-0.43	1.02	1.42
1.12	1.09	-0.36	0.77	-1.02	0.45	1.55
0.3	0.07	-0.54	-0.28	-0.64	0.4	0.68
0.18	-1.23	-0.06	-0.59	1.36	1.15	0.28
0.54	1.09	-0.36	0.77	0.79	0.65	0.49
0.16	1.27	-0.39	0.77	0.49	0.56	1.35
0.18	-1.19	-0.05	-0.63	1.23	1.06	-0.21
0.64	-1.18	0.78	-0.38	0.66	-0.79	0.35
0.4	0.15	-0.62	-0.19	0.06	0.12	0.63
0.37	-0.13	0.11	0.29	-0.3	1.09	0.64
0.17	1.15	0.48	0.47	-0.48	0.28	1.35
0.17	0.78	0.19	1.07	-0.17	0.68	0.39
0.13	-0.09	-0.03	-0.05	-0.5	0.39	1.45
0.4	-1.2	-0.07	-0.67	1.41	0.13	-0.01
0.14	0.42	-0.79	-0.15	0.04	0.87	0.14
0.1	0.96	0.57	1.44	-0.65	-0.24	0.99
0.16	0.04	-0.44	-0.14	-0.01	0.31	0.93
3.01	0.19	-0.16	-1.03	0.14	0.19	1.19
0.49	0.17	-0.14	-1.06	-0.15	0.33	0.77
0.86	0.21	-0.63	-0.48	-0.36	0.57	0.61
2.32	-1.39	0.91	-0.18	0.53	-0.27	0.39
0.22	-0.34	-0.02	0.33	-0.21	-1.61	0.63
0.18	0.28	0.03	-1.1	-0.43	0.09	1.27
0.28	-0.26	0.28	-0.07	2.22	-1.18	0.43
0.18	0.29	-0.55	-0.53	0.6	-0.54	0.88
0.3	0.2	-0.36	-1.17	-1.68	-0.22	1.32
0.17	-1.26	-0.04	-0.57	0.28	1.16	0.59
1.17	-0.13	0.13	0.3	-0.07	1.24	0.8
0.18	0.23	-0.81	-0.26	-0.61	0.39	1.23
0.11	-1.39	0.91	-0.34	0.55	0.1	-0.55
34.38	-1.12	-0.11	-0.64	0.2	0.46	1.51
5.3	-1.14	-0.11	-0.68	-0.39	1.21	0.4
0.54	0.64	0.71	1.77	-1.29	0.15	-0.03
0.58	1.17	-0.08	1.15	0.03	1.59	-0.2
0.1	-0.2	0.11	0.33	-0.5	1.16	0.97
0.17	-1.11	-0.15	-0.6	0.17	1.28	2.51
0.24	1.56	0.49	0.67	-0.31	0.47	0.98
