Mass	x	y	z	vx	vy	vz
M_sol	Parsecs	Parsecs	Parsecs	km/s	km/s	km/s

0.11	0.15	-0.9	-5.21	0.07	-0.11	-0.43
0.13	-0.45	1.33	-2.02	0.16	0.05	0.09
0.22	0.13	-0.84	0.08	-0.63	0.23	-1.2
0.16	-0.35	-0.41	-0.42	1.24	-0.86	-0.61
0.15	0.28	1.78	1.32	0.51	-0.48	-0.45
0.34	0.39	-1.32	2.57	0.23	0.36	0.17
0.27	-1.42	1.98	2.06	-0.54	-0.16	0.35
0.1	4.63	2.09	1.02	-0.0	0.17	0.14
0.27	1.68	0.98	-2.97	0.58	0.26	0.01
0.57	1.02	0.11	1.11	-0.38	-1.05	-0.59
0.15	-1.89	-1.56	-4.95	-0.27	-0.19	-0.28
0.11	-0.37	1.19	0.78	-0.29	-0.07	-0.38
0.29	0.61	0.08	-0.29	-0.44	0.16	0.23
0.35	-1.53	0.71	-0.07	-1.14	-0.12	-0.09
0.15	-0.24	0.67	-0.21	-0.37	-0.42	-0.57
0.14	-3.57	-1.54	-1.87	-0.0	-0.01	0.08
0.47	-3.58	-9.71	2.63	-0.75	-1.91	0.38
1.05	0.39	-0.33	8.4	0.14	0.09	0.83
0.25	1.74	0.88	-2.87	0.42	0.33	0.12
0.33	1.53	0.76	-3.18	0.6	0.34	0.0
0.59	-1.73	-3.17	0.4	-0.03	-0.25	-0.16
0.39	-0.5	-1.61	-0.6	0.0	-0.98	-0.53
0.39	1.67	0.13	-4.43	0.4	0.02	-0.24
1.71	-1.59	-0.8	-0.45	-0.2	-1.01	-0.06
0.1	-0.28	0.1	0.06	0.49	1.65	-0.38
0.18	2.09	-0.31	0.63	1.4	0.09	0.79
0.1	-0.12	0.08	-0.31	0.25	0.08	-1.06
0.52	-4.34	-3.66	-2.95	-0.28	-0.28	-0.14
0.22	-8.6	7.42	-3.62	-0.88	0.56	-0.52
0.22	5.49	-3.11	4.98	1.18	-0.51	0.82
0.18	0.06	0.27	0.3	0.03	1.44	-0.13
0.27	1.31	-0.89	-0.69	-0.09	0.07	0.17
0.16	2.19	-1.43	-0.36	-0.62	0.01	0.01
0.17	0.94	1.58	-0.9	0.47	0.68	-0.94
0.35	-5.24	1.18	-3.95	-0.5	0.34	-0.35
0.7	0.08	-0.11	0.03	-0.78	0.86	0.45
0.8	-4.78	-1.43	-3.46	-0.54	-0.03	-0.16
0.11	-3.69	5.63	-0.2	-0.35	0.12	-0.21
1.12	0.08	-0.1	0.03	-0.23	1.04	0.05
0.3	0.29	-1.2	-5.29	0.01	-0.35	-0.83
0.18	-0.46	-0.21	-0.71	0.15	0.61	0.59
0.54	-1.07	-2.73	-3.85	-0.22	0.12	-0.3
0.16	-2.42	0.28	-2.15	0.32	-0.73	-0.36
0.18	-1.06	1.82	2.09	-0.05	0.08	-0.09
0.64	4.63	1.37	-0.15	-0.04	0.01	-0.19
0.4	1.77	-0.2	1.74	0.07	-0.45	0.03
0.37	-3.46	0.18	-2.8	-0.38	-0.02	-0.68
0.17	-4.28	-2.3	-2.84	-0.3	-0.24	-0.13
0.17	0.09	0.52	0.32	1.44	0.74	0.03
0.13	-1.29	0.2	0.05	0.13	0.25	-0.64
0.4	-0.34	-3.09	-0.12	-0.48	0.33	-0.2
0.14	0.23	1.29	1.22	-0.35	0.29	0.33
0.1	-1.89	1.2	-1.15	-0.09	-0.32	-0.21
0.16	-6.69	-11.16	-9.67	-0.84	-1.16	-1.1
3.01	0.47	-0.2	0.31	-1.03	-0.12	0.81
0.49	0.47	-0.21	0.27	-1.23	0.08	1.26
0.86	-0.47	0.76	0.11	-0.73	0.65	-0.11
2.32	0.16	0.34	-0.16	0.7	0.41	-1.11
0.22	0.17	-0.15	0.3	0.51	-0.19	-0.87
0.18	1.19	-1.28	-1.49	-0.01	-0.28	0.27
0.28	0.21	0.14	0.13	1.88	0.57	0.17
0.18	0.67	-1.9	-0.25	0.71	-0.48	0.47
0.3	-0.89	4.02	8.04	0.16	0.41	0.62
0.17	0.69	0.15	-0.32	0.33	0.53	0.64
1.17	3.94	2.6	1.65	-0.15	0.66	0.18
0.18	0.0	0.27	-2.5	0.06	0.27	-1.08
0.11	3.95	0.4	5.08	0.15	0.21	0.22
34.38	0.03	0.28	0.27	-0.23	-1.99	-1.89
5.3	-0.44	-0.35	-0.06	-0.89	-0.27	-0.27
0.54	-0.12	0.23	-0.3	0.42	0.17	-0.55
0.58	0.37	1.11	-2.1	-0.55	0.2	-0.45
0.1	-0.59	-2.89	0.26	0.22	-0.49	-0.27
